"par","signataire_original","type","date","url","titre","texte","nbcar"
"1 journaliste","Éric Leblanc","une chronique sportive",2022-07-12,"https://www.rds.ca/hockey/canadiens/mailloux-assure-tout-faire-pour-devenir-une-meilleure-personne-1.15953395","CH : Logan Mailloux assure tout faire pour devenir une meilleure personne","Près d'un an après la commotion provoquée par la sélection de Logan Mailloux au repêchage de la LNH, ...",2252
"1 journaliste","Éric Leblanc","une chronique sportive",2023-01-18,"https://www.rds.ca/hockey/canadiens/pas-evident-de-trouver-l-equilibre-1.16527718","Canadien : le directeur général Kent Hughes a dressé son bilan de l'équipe à la mi-saison","Kent Hughes reconnaît qu'il n'existe aucune réponse parfaite pour encadrer l'évolution de Juraj Slaf ...",2139
"1 journaliste","Éric Leblanc","une chronique sportive",2023-01-18,"https://www.rds.ca/hockey/owen-beck-a-maintenant-montreal-en-tete-1.16527053","Espoirs des Canadiens : Owen Beck a maintenant Montréal en tête","À peine repêché par le Canadien l'été dernier, Owen Beck n'a pas tardé à devenir une révélation lors ...",2195
"1 journaliste","Améli Pineda","un reportage judiciaire",2021-05-20,"https://www.ledevoir.com/societe/586670/justice-un-pas-de-plus-vers-la-protection-des-victimes-de-violence-conjugale","Un pas de plus vers la protection des victimes de violence conjugale","Une mère de famille victime de violence conjugale a obtenu la protection du tribunal dans le cadre d ...",3705
"1 journaliste","Améli Pineda","un reportage judiciaire",2021-06-16,"https://www.ledevoir.com/societe/sante/586996/amendes-salees-les-opposants-au-masque-veulent-les-contester","Les opposants au port du masque veulent contester les constats d’infraction","Au même moment où Québec a annoncé des amendes salées aux contrevenants aux règles de santé publique ...",4082
"1 journaliste","Éric Leblanc","une chronique sportive",2022-08-14,"https://www.rds.ca/hockey/lnh/apres-le-choc-david-perron-doit-se-rejouir-1.15985564","Après le choc, David Perron doit se réjouir","Quand il a signé son nouveau contrat, à l'ouverture du marché des joueurs autonomes, David Perron ne ...",2664
"1 journaliste","Éric Leblanc","une chronique sportive",2022-11-13,"https://www.rds.ca/football/alouettes/matte-emotif-des-changements-a-prevoir-1.16391437","Alouettes : les changements à prévoir rendent Matte émotif","La tête basse, le cœur lourd, les joueurs des Alouettes de Montréal quittaient le terrain après la d ...",2022
"1 journaliste","Éric Leblanc","une chronique sportive",2022-08-04,"https://www.rds.ca/football/alouettes/les-alouettes-s-ecrasent-au-quatrieme-quart-1.15978997","LCF : Les Alouettes s'écrasent au quatrième quart devant les Blue Bombers, qui sont invaincus","Même si les observateurs ne donnaient pas cher de la peau des Alouettes contre les Blue Bombers de W ...",2702
"1 journaliste","Améli Pineda","un reportage judiciaire",2020-04-02,"https://www.ledevoir.com/societe/585937/upac-l-ex-commissaire-temoigne-au-proces-de-son-ex-bras-droit","Robert Lafrenière assure ne pas avoir quitté l’UPAC à cause de Guy Ouellette","L’ex-commissaire de l’Unité permanente anticorruption (UPAC) Robert Lafrenière affirme que sa démiss ...",3981
"1 journaliste","Améli Pineda","un reportage judiciaire",2021-07-21,"https://www.ledevoir.com/societe/574712/budget-reactions-violence-faite-aux-femmes","Les besoins des femmes violentées restent immenses","Le cri du coeur lancé dans les derniers mois pour le financement des ressources pour les victimes de ...",3838
"1 journaliste","Améli Pineda","un reportage judiciaire",2021-04-16,"https://www.ledevoir.com/politique/quebec/594895/erreur-sur-la-personne-quebec-declenche-une-enquete-independante-sur-l-affaire-camara","Mamadi Camara s'avoue déçu par les deux enquêtes annoncées","Mamadi III Fara Camara s’avoue déçu par les enquêtes annoncées mardi pour faire la lumière sur son a ...",3805
"1 journaliste","Améli Pineda","un reportage judiciaire",2020-03-31,"https://www.ledevoir.com/societe/589799/profilage-racial-la-police-de-repentigny-se-veut-plus-inclusive","La police de Repentigny se veut plus inclusive","La police de Repentigny demeure prudente quant à l’utilisation du terme « profilage racial », alors  ...",4139
"1 journaliste","Améli Pineda","un reportage judiciaire",2021-04-08,"https://www.ledevoir.com/societe/587599/poursuite-quebec-jean-charest","Jean Charest poursuit Québec pour violation de sa vie privée","Le ex-premier ministre Jean Charest accuse Québec d’avoir violé sa vie privée à la suite des fuites  ...",3779
"1 journaliste","Améli Pineda","un reportage judiciaire",2020-12-04,"https://www.ledevoir.com/societe/582598/violence-conjugale-inquietudes-face-a-un-tueur-qui-ecope-d-au-moins-13-ans-de-penitencier","Inquiétudes face à un tueur qui écope d’au moins 13 ans de pénitencier","Un meurtrier a écopé jeudi d’au moins 13 ans d’incarcération pour avoir poignardé son ex-conjointe à ...",3830
"1 journaliste","Améli Pineda","un reportage judiciaire",2021-07-28,"https://www.ledevoir.com/societe/594612/mort-de-bony-jean-pierre-le-policier-christian-gilbert-acquitte","Un policier acquitté dans l’affaire Bony Jean-Pierre","L’acquittement du policier Christian Gilbert, qui a causé la mort de Bony Jean-Pierre en mars 2016 l ...",3879
"1 journaliste","Thomas Gerbet","un reportage",2020-10-01,"https://ici.radio-canada.ca/nouvelle/1738096/chum-suspend-visites-patients-covid","Le CHUM suspend les visites aux patients | Coronavirus","Dès jeudi soir, à minuit, les visiteurs ne pourront plus se rendre au chevet des patients du Centre  ...",3079
"1 journaliste","Éric Leblanc","une chronique sportive",2022-09-17,"https://www.rds.ca/hockey/canadiens/pierrick-dube-expose-de-nouvelles-armes-1.16207852","Canadiens : Pierrick Dubé expose de nouvelles armes au tournoi des recrues","Au niveau junior, Pierrick Dubé était reconnu pour exceller dans les moments cruciaux. À son plus gr ...",3116
"1 journaliste","Éric Leblanc","une chronique sportive",2022-10-12,"https://www.rds.ca/hockey/canadiens/un-resultat-inattendu-pour-les-canadiens-1.16323235","LNH : Les Canadiens surprennent les Maple Leafs au match d'ouverture","Pour une saison qui s'amorçait sans aucune attente, ce n'est pas si mal que le Canadien ait lancé so ...",3572
"1 journaliste","Emilie Nicolas","une chronique société",2020-04-16,"https://ledevoir.com/opinion/chroniques/577077/docteur-privilege","Docteur Privilège","On a beaucoup dit à quel point la pandémie de la COVID-19 met en évidence les iniquités socio-économ ...",4910
"1 journaliste","Éric Leblanc","une chronique sportive",2022-11-15,"https://www.rds.ca/hockey/canadiens/un-exemple-a-suivre-pour-le-tricolore-1.16394118","Canadiens : un exemple à suivre pour le Tricolore dans ce revers contre les Devils","Tout dépendant de la vitesse à laquelle la reconstruction s'opérera, le Canadien se voit progresser  ...",2778
"1 journaliste","Éric Leblanc","une chronique sportive",2023-01-19,"https://www.rds.ca/hockey/canadiens/discipline-recherchee-et-gudas-seme-la-colere-1.16529808","Canadiens : discipline recherchée et Radko Gudas sème la colère chez les Canadiens","Durant sa reconstruction, le Canadien ne dominera pas plusieurs catégories de statistiques dans la L ...",3074
"1 journaliste","Thomas Gerbet","un reportage",2021-12-21,"https://ici.radio-canada.ca/nouvelle/1849288/croix-rouge-renfort-gouvernement-quebec-covid","COVID-19 : la Croix-Rouge appelée en renfort par le gouvernement du Québec | Coronavirus","Après l'appel à l'aide des Forces armées canadiennes, le ministère de la Santé du Québec sollicite l ...",2988
"1 journaliste","Améli Pineda","un reportage judiciaire",2020-01-30,"https://www.ledevoir.com/societe/598702/montreal-controverse-autour-d-une-arrestation-musclee","Controverse autour d’une arrestation musclée","Une arrestation musclée survenue samedi au parc Jeanne-Mance suscite la controverse. Les témoins de  ...",4078
"1 journaliste","Améli Pineda","un reportage judiciaire",2021-03-20,"https://www.ledevoir.com/societe/577426/covid-19-service-correctionnel-canada-vise-par-une-demande-d-action-collective","Service Correctionnel Canada visé par une demande d’action collective","Une détenue qui a contracté la COVID-19 derrière les barreaux veut intenter une action collective co ...",4353
"1 journaliste","Éric Leblanc","une chronique sportive",2022-09-18,"https://www.rds.ca/hockey/canadiens/owen-beck-precis-comme-un-anesthesiste-1.16215030","Canadiens - Owen Beck : précis comme un anesthésiste, fonceur comme un bélier","Si Owen Beck n'avait pas tout ce talent au hockey, il aurait entamé des études en médecine pour deve ...",3500
"1 journaliste","Emilie Nicolas","une chronique société",2020-08-13,"https://ledevoir.com/opinion/chroniques/584038/manifester-fonctionne","Manifester fonctionne","« Les temps le demandaient », dit-on. On parle bien sûr de la visibilité sans précédent du mouvement ...",5267
"1 journaliste","Améli Pineda","un reportage judiciaire",2020-03-10,"https://www.ledevoir.com/societe/571063/le-pere-suspecte-d-avoir-tue-sa-conjointe-a-mascouche-etait-un-educateur-specialise","Mascouche: Benoît Cardinal est accusé de meurtre non prémédité","C’était une famille « sans histoire », du moins jusqu’à vendredi dernier, lorsque le père a démissio ...",3923
"1 journaliste","Améli Pineda","un reportage judiciaire",2020-03-19,"https://www.ledevoir.com/politique/quebec/571605/parti-quebecois-frederic-bastien-se-lance-dans-la-course","Frédéric Bastien se lance dans la course à la chefferie du PQ","Le professeur et historien Frédéric Bastien est devenu cette fin de semaine le troisième candidat à  ...",4193
"1 journaliste","Améli Pineda","un reportage judiciaire",2020-07-29,"https://www.ledevoir.com/societe/consommation/576222/covid-19-les-depanneurs-au-front","Les dépanneurs au front","Des bouts de bois, des pellicules de plastique et beaucoup de ruban adhésif : des panneaux de fortun ...",4420
"1 journaliste","Emilie Nicolas","une chronique société",2019-09-19,"https://ledevoir.com/opinion/chroniques/562924/les-paroles-legitimes","Les paroles légitimes","La participation de Maxime Bernier, chef du Parti populaire du Canada (PPC), aux débats des chefs de ...",5014
"1 journaliste","Éric Leblanc","une chronique sportive",2023-02-10,"https://www.rds.ca/football/nfl/je-dois-tout-a-mon-grand-frere-1.16629084","Super Bowl : « Quand je dis que je dois tout à mon grand frère, c'est vrai » - Travis Kelce","« Quand je dis que je dois tout à mon grand frère, c'est vrai. » Travis Kelce est un homme intense d ...",3288
"1 journaliste","Thomas Gerbet","un reportage",2021-04-02,"https://ici.radio-canada.ca/nouvelle/1781895/rendez-vous-vaccination-annules-lanaudiere-manque-doses","Des rendez-vous de vaccination annulés dans Lanaudière par manque de doses | Coronavirus","Des résidents de Lanaudière qui avaient obtenu un rendez-vous de vaccination entre le 1er et le 6 av ...",2906
"1 journaliste","Améli Pineda","un reportage judiciaire",2020-03-13,"https://www.ledevoir.com/societe/571522/un-assassin-libere-de-prison-recidive","Le meurtre de Sainte-Foy était-il évitable?","La Commission des libérations conditionnelles du Canada (CLCC) se retrouve sous les projecteurs pour ...",4505
"1 journaliste","Améli Pineda","un reportage judiciaire",2020-06-08,"https://www.ledevoir.com/societe/579975/observations-sur-la-peine-ugo-fredette-se-compare-a-guy-turcotte","Ugo Fredette se compare à Guy Turcotte","Les audiences sur la peine du meurtrier Ugo Fredette se sont amorcées lundi avec de troublantes décl ...",4493
"1 journaliste","Emilie Nicolas","une chronique société",2019-02-21,"https://ledevoir.com/opinion/chroniques/548282/sans-justice-pas-de-paix","Sans justice, pas de paix","On s’est beaucoup préoccupé cette semaine du sort des Canadiens empêchés de rentrer au bercail par l ...",5010
"1 journaliste","Emilie Nicolas","une chronique société",2020-07-09,"https://ledevoir.com/opinion/chroniques/582113/le-nouveau-condom","Le nouveau condom","Le président du Brésil, Jair Bolsonaro, est officiellement atteint de la COVID-19 depuis mardi. Bols ...",4997
"1 journaliste","Éric Leblanc","une chronique sportive",2023-01-09,"https://www.rds.ca/hockey/canadiens/un-depart-genant-et-frustrant-pour-st-louis-1.16516069","LNH : Un départ gênant et frustrant pour Martin St-Louis contre le Kraken","Dans un contexte de reconstruction, Martin St-Louis apparaît serein après la plupart des défaites. M ...",3191
"1 journaliste","Thomas Gerbet","un reportage",2020-05-15,"https://ici.radio-canada.ca/nouvelle/1703548/visiere-masque-obligatoires-directive-hopital","Visière et masque deviennent obligatoires dans plusieurs hôpitaux du Québec | Coronavirus","Des dizaines de milliers d'infirmières, de préposés et de médecins des hôpitaux de Montréal et des r ...",3681
