par,signataire_original,type,date,url,titre,texte,nbcar
1 journaliste,Éric Leblanc,une chronique sportive,2022-07-12,https://www.rds.ca/hockey/canadiens/mailloux-assure-tout-faire-pour-devenir-une-meilleure-personne-1.15953395,CH : Logan Mailloux assure tout faire pour devenir une meilleure personne,"Près d'un an après la commotion provoquée par la sélection de Logan Mailloux au repêchage de la LNH, le défenseur ontarien vit sa première expérience avec le Canadien de Montréal et il assure investir tous les efforts nécessaires pour devenir une meilleure personne. Rappelons que le Canadien, sous la gouverne de Marc Bergevin, avait repêché Mailloux même si ce dernier avait indiqué qu'il ne souhaitait pas être choisi en 2021. Mailloux trouvait qu'il ne méritait pas ce privilège car il avait été condamné à payer une amende en Suède pour avoir partagé des photos inappropriées d'une femme avec laquelle il avait eu un acte sexuel. À partir de ce faux pas, le Canadien s'est au moins assuré que Mailloux participe à plusieurs programmes d'éducation pour comprendre la portée de son geste et saisir l'importance du consentement. « Depuis l'incident, j'ai eu toute cette éducation. J'ai l'impression d'être parti de zéro et d'avoir compris énormément de choses. Je devais développer ma maturité rapidement et je trouve que j'y suis bien parvenu », a humblement décrit Mailloux lors d'une mêlée de presse en compagnie de Rob Ramage, le directeur du développement des joueurs du Canadien, qui est devenu son mentor. « C'est difficile chaque jour, j'y pense au quotidien et je sais que la victime doit également composer avec ça », a-t-il ajouté. Mailloux réalise qu'il ne peut pas effacer son énorme erreur et il aurait souhaité agir autrement. « Je changerais tout ce que j'ai fait ... J'ai grandement changé comme personne, je n'étais pas éduqué à cette époque et je sens que je le suis maintenant. » « Avec ce qui est arrivé, ce n'était pas facile. Je l'ai côtoyé tout au long de la saison l'an dernier, il était pas mal à terre. Il a travaillé très fort, il a rencontré beaucoup de monde pour s'en sortir. Aujourd'hui, je pense qu'il est une meilleure personne », a déclaré Francis Bouillon qui participe au développement des joueurs. Dans un sens, la grande attention médiatique dirigée vers cet incident peut mener à une évolution nécessaire. Ce contexte permet à de nombreux jeunes d'être sensibilisé au consentement et au respect. Puisque comme Mailloux le précise, il faut que les programmes d'éducation soient répandus dans le milieu du hockey",2252
1 journaliste,Éric Leblanc,une chronique sportive,2023-01-18,https://www.rds.ca/hockey/canadiens/pas-evident-de-trouver-l-equilibre-1.16527718,Canadien : le directeur général Kent Hughes a dressé son bilan de l'équipe à la mi-saison,"Kent Hughes reconnaît qu'il n'existe aucune réponse parfaite pour encadrer l'évolution de Juraj Slafkovsky ou bien l'utilisation des vétérans alors que le développement demeure la priorité. Tout devient une question d'équilibre. Voici l'apprentissage retenu par Hughes qui célèbre son premier anniversaire comme directeur général du Canadien, un poste scruté à la loupe. D'un côté, il y a le désir de rebâtir cette organisation avec une culture gagnante. De l'autre, il y a l'immense tentation d'ajouter un espoir extraordinaire comme Connor Bedard au repêchage. « Je disais à Martin (St-Louis, l'entraîneur) que les victoires sont bonnes à un certain point, mais que les défaites ne sont pas bonnes jusqu'à certain point », a confié Hughes en souriant. « Je crois beaucoup en la culture d'équipe contrairement à miser sur un club qui ne peut pas gagner, où l'imputabilité n'existe pas et que les joueurs ne savent pas comment gagner », a enchaîné le DG. Ce dossier fait réagir les partisans alors que plusieurs prétendent que le Canadien offre trop d'utilisation à des vétérans au détriment de la relève. « J'imagine que des discussions surviennent dans les 32 clubs de la LNH à ce sujet. J'ai parlé à plusieurs directeurs généraux expérimentés par rapport à ce qu'ils ont vécu. On en discute tous à l'interne, mais on va toujours permettre aux entraîneurs de prendre les décisions sur les joueurs et leurs partenaires. Tout comme qu'à la date limite des transactions (le 3 mars), on veut leur point de vue sur les joueurs, mais c'est le groupe de gestion qui fera les décisions sur les transactions », a exposé Hughes. « On sait qu'on n'a pas une équipe pour gagner chaque partie, mais on s'attend à ce que les joueurs se présentent pour gagner à chaque match. Ce serait différent de leur dire, on n'est plus capable d'obtenir des victoires, on va juste faire jouer les jeunes. Je pense qu'on perdrait l'équipe, la chambre », a précisé le dirigeant. Cela nous fait dire que les discussions doivent être intéressantes entre les départements hockey du Tricolore. D'ailleurs, Hughes retire sa plus grande fierté en voyant le groupe assemblé",2139
1 journaliste,Éric Leblanc,une chronique sportive,2023-01-18,https://www.rds.ca/hockey/owen-beck-a-maintenant-montreal-en-tete-1.16527053,Espoirs des Canadiens : Owen Beck a maintenant Montréal en tête,"À peine repêché par le Canadien l'été dernier, Owen Beck n'a pas tardé à devenir une révélation lors du tournoi des recrues et du camp d'entraînement. Maintenant qu'il a savouré l'or avec Équipe Canada junior, il aspire à jouer à Montréal la saison prochaine. « Absolument, j'aimerais être dans la LNH le plus rapidement possible, c'est l'objectif de tous. Je vais travailler en ce sens », a raconté Beck, l'un des cinq membres de l'équipe championne qui ont été honorés mardi soir au Centre Bell. L'attaquant droitier de 18 ans n'est pas du style à lancer ce souhait en l'air. À vrai dire, sa personnalité ressemble énormément au jeu qu'il déploie sur la patinoire, un style réfléchi et juste assez confiant pour se débrouiller contre des adversaires de haut niveau. Excellent étudiant, Beck reconnaît qu'il s'est assuré de retenir les apprentissages de l'été durant son passage avec l'organisation montréalaise. Quand il cumule le tout à l'élan de confiance acquis dans l'uniforme du Canada pendant le dernier droit du tournoi, Beck calcule que ses chances sont réalistes. « C'est un événement gigantesque, c'est merveilleux d'avoir pu y participer à 18 ans. Ça devrait m'aider pour l'année prochaine. Cette expérience va me servir dans tous mes matchs », a relaté Beck, repêché au 33e rang par le CH cet été. D'ailleurs, les Steelheads de Mississauga, de la Ligue junior de l'Ontario, ont jugé bon de l'échanger, cette année, aux Petes de Peterborough. Une belle prudence de la part des dirigeants des Steelheads qui auraient pu le perdre, l'an prochain, sans rien obtenir en retour. Jusqu'à présent, en trois matchs, Beck a été limité à un but avec sa nouvelle équipe, mais il est excité à l'idée de pouvoir exploiter davantage ses habiletés offensives. « Mes entraîneurs à Mississauga et Peterborough insistent beaucoup sur les détails afin de bien respecter le système. Mais je crois qu'il y a plus de place pour la créativité à Peterborough et c'est quelque chose qui m'enchante, j'ai hâte d'expérimenter ça dans mon jeu », a précisé Beck avec une phrase qui devrait ravir quelques partisans du CH. Que du positif pour Hinds Si ÉCJ mise sur plusieurs valeurs sûres pour le prochain niveau",2195
1 journaliste,Améli Pineda,un reportage judiciaire,2021-05-20,https://www.ledevoir.com/societe/586670/justice-un-pas-de-plus-vers-la-protection-des-victimes-de-violence-conjugale,Un pas de plus vers la protection des victimes de violence conjugale,"Une mère de famille victime de violence conjugale a obtenu la protection du tribunal dans le cadre de sa séparation, une mesure rarement utilisée qui, selon l’organisme Juripop, pourrait changer la vie de plusieurs femmes. « De la violence conjugale, ça ne veut pas toujours dire qu’il y a des coups. C’est souvent au moment de la séparation que ça devient explosif, particulièrement lorsqu’il faut négocier la garde des enfants ou la pension alimentaire », souligne Sylvie Lévesque, directrice générale de la Fédération des associations de familles monoparentales et recomposées du Québec. Si la violence est subtile et difficile à démontrer, les craintes des femmes sont réelles, note Me Justine Fortin, avocate à la clinique juridique Juripop. C’est dans ce contexte que l’organisme a récemment réussi à obtenir une ordonnance de protection à l’égard d’une mère de famille dont la séparation avec le père de ses enfants a tourné au cauchemar. « C’est un cas de violences psychologique et économique, qui s’est échelonné sur une dizaine d’années, mais où il n’y a pas eu de commission d’acte criminel », explique Me Fortin. « La mère de famille n’avait pas la possibilité de porter plainte à la police, mais elle avait quand même des motifs de craindre pour sa sécurité à cause de son vécu des dernières années. » Or, il existe au Québec une procédure méconnue, qui permet d’être protégé contre quelqu’un, même s’il n’a commis aucun acte criminel. C’est l’équivalent civil de l’interdit de contact au criminel, appelé dans le jargon judiciaire un « 810 ». Jusqu’à présent, cette procédure civile a surtout été utilisée dans des dossiers de disputes de voisins, par exemple. L’homme s’est ainsi vu ordonner par un juge de cesser tout comportement harcelant et intimidateur envers la mère de ses enfants, de rester à l’écart des lieux fréquentés par son ex-conjointe ainsi que de remettre toutes les armes qu’il a en sa possession aux autorités policières. L’ordonnance de protection est valable pour une durée maximale de trois ans. S’il y a bris de l’ordonnance, le tribunal pourra condamner l’individu à payer une amende, à faire du travail communautaire ou à purger une peine d’emprisonnement. Selon Juripop, il s’agirait d’une des premières ordonnances de protection civile dans un contexte de violence conjugale. « L’enjeu qu’on va vivre devant les tribunaux de droit de la famille, c’est que la violence conjugale est souvent balayée du revers de la main et donc ça devient encore plus difficile de démontrer la pertinence de protéger la mère », souligne Me Fortin. Une étude publiée en novembre 2019, menée par la Fédération des maisons d’hébergement pour femmes, révélait que la violence conjugale était souvent remplacée par des termes plus nuancés dans des décisions rendues par les tribunaux de la famille, qui parlent davantage de « conflit parental », ou encore de « relation orageuse ». La décision du juge constitue donc un pas de plus vers une justice adaptée aux besoins des victimes de violence conjugale, estime Sophie Gagnon, directrice générale de Juripop. « Les victimes ont des parcours différents et il faut que le système puisse y répondre. L’ordonnance de protection civile vient combler un vide, mais ce n’est pas une mesure qui doit venir remplacer la possibilité de porter plainte », souligne-t-elle. Les femmes victimes de violence conjugale peuvent utiliser la ligne téléphonique d’assistance juridique en droit familial lancée ce printemps, mentionne Mme Gagnon. Depuis son lancement, l’organisme reçoit 8 à 10 appels par jour sur des questions comme la garde d’enfants ou l’accès à la résidence familiale. La ligne d’assistance juridique est accessible au 1-844-312-9009.",3705
1 journaliste,Améli Pineda,un reportage judiciaire,2021-06-16,https://www.ledevoir.com/societe/sante/586996/amendes-salees-les-opposants-au-masque-veulent-les-contester,Les opposants au port du masque veulent contester les constats d’infraction,"Au même moment où Québec a annoncé des amendes salées aux contrevenants aux règles de santé publique, les organisateurs d’une manifestation regroupant des opposants au port du masque les ont invités à contester toute contravention qu’ils pourraient recevoir. « Les autorités jouent avec la peur des tickets et non avec la peur de la maladie », a lancé Steeve « L’artiss » Charland, un des anciens dirigeants du groupe identitaire La Meute, aujourd’hui devenu un des porte-parole des antimasques. Les centaines de manifestants réunis au parc La Fontaine, situé dans l’arrondissement du Plateau-Mont-Royal à Montréal, ont été invités par M. Charland à poursuivre leur combat pour leur liberté de ne pas porter de couvre-visage ainsi que de continuer à pouvoir se réunir en toute quiétude. Suivez l'évolution de la COVID-19 au Québec Consultez notre tableau de bord interactif. « Ils veulent nous donner des tickets de sommes faramineuses parce qu’on veut vivre une vie normale, ça n’a aucun bon sens, on n’acceptera pas ça », a-t-il déclaré sous les applaudissements de la foule. Quelques minutes plus tôt, Québec a fait savoir que les policiers pourront désormais obtenir un « télémandat » sur-le-champ auprès d’un juge pour pénétrer à l’intérieur de résidences privées où ils soupçonnent un rassemblement illégal. Ils pourront par la suite remettre un constat d’infraction portatif assorti d’une amende de 1000 dollars à toute personne faisant fi des règles sanitaires. « Ce ne sont pas les cas de COVID qui vont augmenter, mais bien les faillites, les cas de détresse et de violence conjugale », a avancé M. Charland. Je ne vais pas faire exprès d’entrer dans la bulle de quelqu’un, je respecte la distanciation physique, mais j’aimerais ça respirer et le masque m’empêche de le faire — Une manifestante D’autres orateurs ont pris la parole pour encourager les manifestants à continuer à sensibiliser leur famille à l’importance de s’opposer aux mesures imposées par la Santé publique. Certains ont laissé entendre que si Québec serre la vis, c’est en raison de leur nombre grandissant. Soirée festive Les manifestants non masqués se sont serrés dans leurs bras, donné la bise et ont dansé ensemble à quelques heures du début du confinement de 28 jours annoncé plus tôt cette semaine par le premier ministre François Legault. Karine, qui a préféré taire son nom de famille, a fait la route depuis Mont-Saint-Hilaire pour être présente. « C’est une question de respecter la liberté de choix de chacun. Je ne vais pas faire exprès d’entrer dans la bulle de quelqu’un, je respecte la distanciation physique, mais j’aimerais ça respirer et le masque m’empêche de le faire », a fait valoir la mère de famille, venue avec son garçon de 11 ans. À deux reprises, des policiers du Service de police de la Ville de Montréal (SPVM) sont intervenus auprès des organisateurs. « On vous demande de respecter la distanciation physique, l’espace nous le permet, mais on vous rappelle que ça reste un choix individuel », a averti un organisateur, qui a lui aussi rappelé aux manifestants « qu’une contravention, ça peut toujours se contester ». Ils veulent nous donner des tickets de sommes faramineuses parce qu’on veut vivre une vie normale, ça n’a aucun bon sens, on n’acceptera pas ça — Steeve Charland Des agents à vélo se sont promenés par moments dans la foule demandant le respect des deux mètres. Un avis de dispersion a aussi été lancé laissant présager une intervention des autorités, mais finalement les manifestants ont quitté le terrain à 19 h, comme prévu. Aucune amende n’a été donnée. Un homme a été arrêté pour méfait durant la manifestation. Parallèlement à ce rassemblement, les organisateurs du rassemblement prévu le 11 octobre au parc Jarry à Montréal ont finalement annoncé l’annulation de l’événement dans une vidéo diffusée sur Facebook. « En raison de la zone rouge et des restrictions entourant celle-ci, l’événement « Action pour la liberté » est annulé », a fait savoir Jean-François Denis, un des organisateurs, tout en qualifiant la situation de « pseudo pandémie ».",4082
1 journaliste,Éric Leblanc,une chronique sportive,2022-08-14,https://www.rds.ca/hockey/lnh/apres-le-choc-david-perron-doit-se-rejouir-1.15985564,"Après le choc, David Perron doit se réjouir","Quand il a signé son nouveau contrat, à l'ouverture du marché des joueurs autonomes, David Perron ne s'est pas empressé d'accorder des entrevues à RDS et TSN comme on le voit régulièrement lors des émissions spéciales. À vrai dire, Perron a eu besoin de temps pour encaisser le coup. Le coup étant de quitter les Blues de St. Louis où il imaginait que son troisième passage allait se poursuivre en vertu de ses prestations convaincantes. Sous le choc de ne pas avoir reçu une offre véritablement sérieuse des Blues avant le déclenchement de l'autonomie, Perron s'est rabattu vers l'option des Red Wings de Detroit avec un contrat de deux ans pour 9,5 millions. Le Québécois a pris quelques jours avant de livrer le fond de sa pensée à Jeremy Rutherford, le journaliste affecté à la couverture des Blues pour The Athletic. Il avait besoin de temps car il était ébranlé et persuadé de trouver un terrain d'entente avec la direction du club du Missouri. Perron a même révélé que ses enfants ont pleuré quand il leur a appris qu'un déménagement s'imposait et que la famille quitterait la ville de St.Louis. Mardi, dans le cadre du Pro-Am Gagné-Bergeron, Perron a accepté de revenir sur ce changement inattendu. « C'est sûr que c'était décevant par rapport au fait que j'ai passé plusieurs années de ma carrière avec les Blues, 11 saisons sur 15. Mes enfants ont grandi là-bas, on était habitués et on adorait ça. Sur ce point, c'est vraiment difficile », a confié le droitier de 34 ans qui jugeait valoir une offre sérieuse. « Les saisons et mes performances faisaient que je méritais, je pense, d'avoir un contrat qui faisait du sens pour rester avec l'équipe. Ça fait quelques semaines donc je crois que c'est le temps de tourner la page et d'être excité d'aller à Detroit », a-t-il déduit. Perron ne veut surtout pas se lamenter, il sait qu'il se classe dans les privilégiés de la société. Il est parti de loin pour le réaliser mieux que bien d'autres joueurs. De plus, il se joint à l'organisation dirigée par Steve Yzerman qui se démarque comme il le faisait sur la patinoire. Il arrive alors que les Red Wings aspirent à chauffer les équipes qui luttent pour les séries. Maniaque de hockey, Perron a choisi de ne pas se gaver de vidéos ou d'informations sur ses nouveaux et jeunes coéquipiers. « Honnêtement, je ne connais pas tant l'équipe. Je veux arriver la tête libre et donner la chance à tout le monde d'avoir une première impression. Je sais qu'on a de bons jeunes, j'en entends toujours parler par mes chums ou dans les entrevues », a expliqué Perron sur une note intéressante. S'il était encore parmi les meilleurs pointeurs des Blues la saison dernière",2664
1 journaliste,Éric Leblanc,une chronique sportive,2022-11-13,https://www.rds.ca/football/alouettes/matte-emotif-des-changements-a-prevoir-1.16391437,Alouettes : les changements à prévoir rendent Matte émotif,"La tête basse, le cœur lourd, les joueurs des Alouettes de Montréal quittaient le terrain après la défaite à Toronto. Le colosse Kristian Matte s'est alors arrêté pour se laisser consoler d'un long câlin par son beau-père. Quand on a demandé à Matte s'il acceptait de nous en dire davantage sur cette scène touchante, ses yeux ont été envahis par les larmes. « Il est venu voir le match avec un ami. C'est un partisan de football depuis avant que je sois avec les Alouettes. Il me supporte énormément. Ouais, c'était un moment spécial… », a-t-il accepté de nous raconter avec émotion. Matte avait le cœur qui chavirait pour plus d'une raison. Parmi celles-ci, ça lui faisait mal de savoir que ce groupe, qui avait « quelque chose de spécial », sera en partie démantelé. « Les joueurs, quand ils prennent leur retraite, ils disent toujours que tu te rappelles de tes coéquipiers. Notre vestiaire était très proche. On s'amusait en jouant au football et c'est spécial quand ça arrive », a noté le sympathique gaillard. « Oui, après avoir commencé 2-6, ça prend de bons ingrédients pour remonter cette pente. Je fais mon positif ici, mais on n'a jamais lâché, on croyait en nous », a déclaré Matte qui a pu s'éloigner de la déception quelques secondes. Quand notre équipe gagne la coupe Grey à notre saison recrue, on ne peut que penser que ce scénario euphorisant se reproduira une fois et même plusieurs fois. Mais non, Matte n'a jamais eu la chance de revivre le match ultime depuis la conquête de 2010. À 37 ans, le vétéran joueur de ligne offensive possède une autre année à son contrat et il faudra voir si l'organisation retiendra ses services. « Il faut aller chercher la bague. Je suis sous contrat, mais ce n'est pas toujours entre nos mains. Je trouve que je joue encore du très bon football. Le plan n'est pas concrétisé, mais je veux encore jouer », a répondu Matte sans laisser planer de doutes sur ses intentions. Par contre, c'était la dernière année du contrat du receveur Eugene Lewis, un autre gros morceau",2022
1 journaliste,Éric Leblanc,une chronique sportive,2022-08-04,https://www.rds.ca/football/alouettes/les-alouettes-s-ecrasent-au-quatrieme-quart-1.15978997,"LCF : Les Alouettes s'écrasent au quatrième quart devant les Blue Bombers, qui sont invaincus","Même si les observateurs ne donnaient pas cher de la peau des Alouettes contre les Blue Bombers de Winnipeg, la victoire était à la portée du club montréalais qui a encore été coulé par son manque d'opportunisme. Les champions en titre sont parvenus à conserver leur fiche parfaite (9-0) pour l'emporter 35 à 20 alors que tout s'est écroulé au dernier quart durant lequel les Alouettes ont été malmenés 21-6. Pourtant, les Alouettes avaient nivelé le pointage à 14-14 au troisième quart et le défi colossal de renverser la formation invaincue motivait les spectateurs. Mais on reconnaît les équipes gagnantes dans les moments cruciaux et les Bombers l'ont démontré. Dans la réalité implacable du sport professionnel, passer proche de l'emporter ne vaut rien au classement si bien que les Alouettes se retrouvent avec un dossier de 2-6. Précisons que la troupe montréalaise possède le même dossier de 1-3 sous les ordres de Danny Maciocia que ceux de Khari Jones qui a été congédié. « Celle-là fait mal, surtout par la manière dont on a réagi. Le problème qu'on a, c'est qu'on n'est pas capable de gérer de l'adversité. On se cherche des problèmes », a déploré Maciocia, le directeur général et entraîneur par intérim qui était particulièrement furieux d'une punition de Tyrice Beverette qui a asséné un coup de casque à un adversaire. « On avait l'occasion d'ajouter un placement, mais c'est inacceptable et j'en ai parlé (aux joueurs) », a-t-il ajouté. Après avoir repris les commandes 21-14, Winnipeg a scié les jambes des Oiseaux en ajoutant un majeur sur un retour de botté de dégagement. « Ce sera important de ne pas lâcher. Après leur touché sur les unités spéciales, c'est devenu amorphe et c'est sûr qu'on ne veut pas ça », a admis Marc-Antoine Dequoy. En fin de rencontre, Trevor Harris a dû oser et il a été intercepté à deux reprises. Dominique Davis est venu compléter la rencontre au poste de quart et il a complété une passe de touché chanceuse. Maciocia a reconnu qu'il évaluera toutes les options dans les prochains jours dont au poste de quart. « Il faut retourner au travail et tout regarder. Prendre des décisions qui vont nous donner une chance de régler les problèmes et obtenir des victoires », a noté le patron football. Mais on doit revenir aux ennuis des Alouettes pour profiter de leurs occasions. L'unité défensive a finalement excellé au sein du nouveau système défensif de Noel Thorpe. Elle a créé quatre revirements très importants. Le hic, et il est majeur, c'est que l'attaque montréalaise n'a inscrit que trois microscopiques points à la suite de ceux-ci. Cette minuscule récolte s'explique notamment par un touché raté sur une tentative de trois verges à Eugene Lewis",2702
1 journaliste,Améli Pineda,un reportage judiciaire,2020-04-02,https://www.ledevoir.com/societe/585937/upac-l-ex-commissaire-temoigne-au-proces-de-son-ex-bras-droit,Robert Lafrenière assure ne pas avoir quitté l’UPAC à cause de Guy Ouellette,"L’ex-commissaire de l’Unité permanente anticorruption (UPAC) Robert Lafrenière affirme que sa démission surprise, en pleine journée électorale il y a deux ans, n’est aucunement liée au dossier du député lavallois Guy Ouellette. L’arrestation de ce dernier, qui est soupçonné d’avoir divulgué des informations aux journalistes, n’a à ce jour mené à aucune accusation. « J’avais 65 ans, je travaillais depuis 46 ans, j’étais fatigué et j’avais décidé, cet été-là, que je démissionnerais [à un moment donné]», a-t-il fait valoir lundi, lors de sa première apparition publique depuis son départ à la tête de l’UPAC. M. Lafrenière était le premier témoin au procès civil de son ancien bras droit, Marcel Forget, qui poursuit le gouvernement du Québec pour 2 millions de dollars pour « congédiement déguisé ». L’ex-grand patron de l’UPAC s’est lui-même dirigé vers les journalistes pour faire le point sur son passage à la cour à sa sortie de la salle d’audience du palais de justice de Montréal. Il est cependant resté de marbre lorsqu’il a été questionné sur les allégations qui le visent dans Qu’on accuse ou qu’on s’excuse, le livre de Guy Ouellette récemment paru, où il est entre autres qualifié « d’Edgar Hoover québécois ». « Je ne ferai pas de commentaires sur le livre de M. Ouellette. Il peut y avoir des enquêtes en cour sur des sujets qu’il y a dans le livre et je ne veux pas me prononcer », s’est-il limité à dire, alors que son avocate se trouvait à ses côtés. La démission de M. Lafrenière avait été annoncée la matinée du 1er octobre 2018, alors que les Québécois s’apprêtaient à aller aux urnes, faisant élire en fin de soirée le gouvernement caquiste de François Legault. Quelques jours plus tôt, le Directeur des poursuites criminelles et pénales (DPCP) avait annoncé que l’UPAC ne pourrait finalement pas fouiller les documents saisis dans la résidence et la voiture du député libéral Guy Ouellette lors de son arrestation en octobre 2017. L’unité d’enquête le soupçonnait d’être derrière les fuites de renseignements policiers sensibles dans les médias. Procès Lors de la première journée d’audience du procès de Marcel Forget contre Québec, l’avocat de l’ex-numéro deux de l’UPAC, a tenté de questionner M. Lafrenière sur l’implication du politique dans les nominations au sein de l’UPAC. Me Daniel Rochefort s’est heurté à de nombreuses objections de ses confrères qui représentent le gouvernement et M. Lafrenière. « Il y a un contexte que je veux démontrer », a-t-il plaidé. « Lorsque le mandat de M. Lafrenière a été renouvelé, il est devenu intouchable, alors on a ciblé le numéro deux. » Il voulait connaître la version de l’ancien commissaire sur les perquisitions au Parti libéral du Québec (PLQ), sur les arrestations de Marc-Yvan Côté, ancien argentier du PLQ, et de Nathalie Normandeau, ancienne ministre libérale, ainsi que sur sa relation avec le député Guy Ouellette. Or, la juge ne lui a pas permis d’aller plus loin dans son interrogatoire à ces sujets. M. Forget s’est retrouvé dans l’embarras en novembre 2017 après que Le Journal de Montréal a eu rapporté qu’il avait vendu des actions sans permis de courtier dans les années 1990 et 2000. Des policiers et d’ex-policiers ont affirmé au quotidien montréalais avoir investi, grâce à lui, dans la firme Newtech, qui a été mise à l’amende dans la foulée d’une enquête de l’Autorité des marchés financiers (AMF). Selon M. Lafrenière son ancien bras droit n’a jamais été poussé à prendre la porte. « Je me rappelle lui avoir dit [que] ça allait finir par finir, de ne pas s’inquiéter », a-t-il témoigné. Or, M. Forget aurait finalement décidé de quitter l’organisation le 30 novembre 2017. Selon des documents de cour, M. Forget soutient avoir été obligé de démissionner après avoir fait l’objet de menaces d’André Fortier, secrétaire général associé aux emplois supérieurs, dans la foulée de ces reportages. L’ancien ministre de la Sécurité publique Martin Coiteux est attendu mardi pour témoigner.",3981
1 journaliste,Améli Pineda,un reportage judiciaire,2021-07-21,https://www.ledevoir.com/societe/574712/budget-reactions-violence-faite-aux-femmes,Les besoins des femmes violentées restent immenses,"Le cri du coeur lancé dans les derniers mois pour le financement des ressources pour les victimes de violence conjugale commence à être entendu, selon les organismes d’aide. Bien qu’« historiques », les sommes dégagées par Québec dans son budget 2020 ne permettront toutefois pas encore de répondre à l’ensemble des besoins. « Il y avait urgence d’agir. Les récents féminicides et les décès liés à la violence conjugale qu’on a connus depuis cet automne ont créé une onde de choc. Le gouvernement est sous les projecteurs », souligne Louise Riendeau, porte-parole du Regroupement des maisons pour femmes victimes de violence conjugale. À lire aussi L'éditorial de Marie-Andrée Chouinard - «Immense retard, petit rattrapage» Des investissements de 181 millions sur cinq ans ont été annoncés mardi pour bonifier le plan gouvernemental de lutte contre la violence conjugale et les services offerts par les maisons d’hébergement. De cette somme, un budget de 120 millions est réservé à ces maisons au cours des cinq prochaines années, afin qu’elles assurent la « pérennité » de leurs services et qu’elles les adaptent aux femmes en situation de vulnérabilité. « C’est historique », avait déclaré fièrement la ministre Isabelle Charest, en rappelant que le plan d’action était auparavant accompagné d’un financement de 86 millions. « Je pense que oui, l’actualité a fait en sorte qu’on a encore plus mis en lumière cet enjeu-là et l’importance d’agir », a-t-elle ajouté. « C’est en effet un investissement majeur qui va nous permettre de pérenniser le financement des maisons d’hébergement, mais c’est évident qu’on n’a pas eu ce qu’on voulait », confie Manon Monastesse, de la Fédération des maisons d’hébergement pour femmes. Son regroupement, qui compte 36 maisons d’hébergement, aurait à lui seul besoin de 32 millions de dollars. « Québec a annoncé 24 millions par année qu’il faudra se répartir entre non seulement les maisons d’urgence de première étape, mais aussi celles d’hébergement de deuxième étape », note Mme Monastesse. Il y avait urgence d’agir. Les récents féminicides et les décès liés à la violence conjugale qu’on a connus depuis cet automne ont créé une onde de choc. — Louise Riendeau Développement À court terme, difficile d’imaginer l’ouverture de nouvelles maisons. « Si on veut ouvrir des nouvelles places dans les maisons d’urgence et ouvrir de nouveaux appartements de 2e étape qui permettraient à des femmes de quitter leur foyer, ça prendrait le double des sommes annoncées », mentionne Mme Riendeau. L’Alliance provinciale des maisons d’hébergement pour femmes et enfants victimes de violence conjugale, qui attend depuis des mois le feu vert pour ouvrir 98 nouvelles appartements de 2e étape, insiste sur l’importance de les concrétiser. Les maisons de 2e étape accueillent les femmes qui, après avoir séjourné dans une maison d’hébergement de 1re étape, présentent le plus haut risque de se faire assassiner. « Le développement des nouvelles places est un énorme enjeu parce que, contrairement aux maisons de première étape, notre financement n’est malheureusement pas récurrent », indique Mme Fedida. Un bon début Elle estime également que les investissements annoncés ne constituent pour l’instant qu’un « rattrapage ». « C’est un bon début, même si ça ne répond pas à nos attentes », dit Gaëlle Fedida de l’Alliance. Elle se réjouit notamment que Québec ait prévu 5 millions de dollars pour consolider les huit cellules d’intervention rapide existantes et en implanter dans de nouvelles régions. « Concrètement, ça vise à prévenir l’homicide conjugal et ça fonctionne très bien ; alors, c’est une bonne nouvelle de vouloir l’implanter dans d’autres régions. Cet investissement est une reconnaissance du mandat du gouvernement en matière de sécurité publique pour protéger les femmes », souligne Mme Fedida.",3838
