par,signataire_original,type,date,url,titre,texte,nbcar
3 GPT-4,Améli Pineda,un reportage judiciaire,2021-03-20,https://www.ledevoir.com/societe/597310/double-feminicide-a-sainte-sophie-une-ex-conjointe-du-suspect-juge-ne-pas-avoir-ete-prise-au-serieux,Double féminicide à Sainte-Sophie: une ex-conjointe du suspect juge ne pas avoir été prise au sérieux,"L'horreur a frappé la petite ville de Sainte-Sophie la nuit dernière, laissant une double tragédie à son sillage. Deux femmes ont été violemment tuées dans des circonstances encore floues. Le suspect, Gérard Bélanger, ex-conjoint d'une des victimes, a été appréhendé par les forces de l'ordre. Selon les premières informations, une des deux victimes serait Isabelle Thibault, son ancienne conjointe, qui se serait rendue au domicile de l'homme, accompagnée d'une amie, afin de récupérer ses biens suite à leur récente rupture. La seconde victime, dont l'identité n'est pas encore dévoilée, serait cette amie venue soutenir Isabelle lors de cette démarche. Les voix se soulèvent maintenant sur les échecs du système judiciaire à garantir la protection de ces deux femmes. Anne-Marie Lapointe, une ancienne compagne de Bélanger, affirme ne pas avoir été prise au sérieux lorsqu'elle avait fait part de ses craintes concernant le comportement violent de Bélanger aux autorités. Elle se confie : ""J'avais peur pour moi, mais surtout pour les autres femmes qui pourraient croiser son chemin. On ne m'a pas écouté"". La violence conjugale avait déjà été signalée par Anne-Marie il y a de cela quelques années, mais les requêtes de protection avaient été balayées par les forces de l'ordre, considérées comme non crédibles. Aujourd'hui, elle déclare : “La gravité du danger était sous-estimée. On aurait dû m'écouter, Isabelle serait peut-être encore en vie. On se sent impuissant face à une telle tragédie."" Durant l'intervention, les policiers de la Sûreté du Québec ont découvert, à l'intérieur de la résidence, les deux femmes gravement blessées. Malgré les tentatives de réanimation, elles ont été déclarées mortes sur place, confirmant le caractère tragique de l'incident. Suite à l'arrestation de Bélanger, ce dernier doit faire face à une enquête pour double meurtre. Il devrait comparaître devant le tribunal de Saint-Jérôme dans la matinée. Le procureur de la couronne a fait savoir qu'il réclamerait la mise en détention du suspect jusqu'à son procès. La mort des deux femmes suscite l'émoi à Sainte-Sophie, un village d'ordinaire paisible. Les résidents, sous le choc, multiplient les initiatives pour honorer la mémoire des victimes. Un rassemblement est prévu ce soir à l'endroit où a eu lieu le drame. La double tragédie rappelle l'importance de la lutte contre la violence conjugale et l'écoute des victimes. Plusieurs voix s'élèvent pour exiger une réforme du système de protection des victimes de violence conjugale, souvent mises de côté par le système ou méconnues des forces de l'ordre. Ce drame soulève une question d'une brûlante actualité : comment garantir une meilleure protection aux victimes de violence conjugale ? Le débat est plus que jamais ouvert alors que les communautés sont en deuil et que le spectre de la violence refait surface dans cette paisible municipalité québécoise.",2904
3 GPT-4,Améli Pineda,un reportage judiciaire,2021-04-08,https://www.ledevoir.com/societe/598459/violence-conjugale-un-homme-qui-a-agresse-son-ex-recherche,Violence conjugale: la police recherche un homme qui a agressé son ex-conjointe,"Une ex-conjointe battue et traumatisée, un agresseur en fuite : voilà le récit sordide d'une scène de violence conjugale qui a secoué une petite communauté de la région de l'Abitibi-Témiscamingue. Des faits que la Sûreté du Québec tente actuellement de démêler, dans l'espoir de mettre la main sur l'homme qui a commis ce geste déplorable. Dimanche dernier, vers 22 heures, l'appel est tombé aux oreilles des policiers. Une femme, effrayée, a signalé être victime d'une agression perpétrée par son ancien partenaire. Elle mentionnait également que l'individu avait quitté les lieux avant l'arrivée des forces de l'ordre. Une fois à son domicile, les policiers ont constaté l'état de la victime. Un visage tuméfié, des marques évidentes de strangulation; les stigmates de cette agression brutale étaient alarmants. L'ambulance a transporté la trentenaire à l'hôpital où les médecins l'ont admise en urgence. Le pronostic vital n'est pas engagé mais le traumatisme psychologique, lui, nécessitera un suivi à long terme. La Sûreté du Québec a, par la suite, déployé d'importantes ressources afin de localiser l'individu recherché. Les chiens pisteurs, l’hélicoptère et une équipe de terrain ont fouillé les alentours de la résidence ainsi que les quartiers avoisinants. Malgré ces efforts, l'homme est toujours en liberté. Des informations révélaient précédemment que l'individu avait un historique de violence. Des accusations d'agression contextuelle avaient déjà été déposées contre lui mais aucune condamnation n'avait suivi. Ces informations révèlent un parcours judiciaire jonché d'actes de violence, bien que non sanctionnés. Au terme de plusieurs heures de recherche infructueuse et d'épluchage de preuves sur place, l'enquête est toujours en cours. Les policiers appellent les citoyens à la vigilance et demandent à quiconque possèdant des informations pouvant mener à l'arrestation de l'agresseur de contacter le 310-4141, ou le 911 pour une intervention immédiate. Dans le climat de tension actuel, la petite communauté doit composer avec sa peur, alors que la victime tente de trouver un refuge sûr. Une situation déplorable qui met en exergue l'importance d'intervenir et de se mobiliser, autant pour les milieux judiciaires que communautaires, face à la problématique de la violence conjugale qui sévit toujours dans notre société. La situation souligne que la bataille contre la violence domestique est loin d'être gagnée. Les instances qui siègent au carrefour de la prévention, de l'intervention et de la justice doivent réfléchir à de nouvelles stratégies pour mettre fin à ces cycles de violence et pour améliorer le soutien aux victimes. Malgré l'ombre que cette affaire projette sur la communauté, elle apporte la preuve que la lumière doit être faite sur cette problématique qui tristement, est encore trop présente. ",2836
3 GPT-4,Améli Pineda,un reportage judiciaire,2021-09-17,https://www.ledevoir.com/societe/633225/agression-sexuelle-gilbert-rozon-nie-avoir-agresse-patricia-tulasne-et-lui-reclame-150-000,Gilbert Rozon nie avoir agressé sexuellement Patricia Tulasne et lui réclame 150 000$,"L'affaire entourant l'ancien producteur de spectacles, Gilbert Rozon, fondateur du festival Juste pour rire, et l'actrice québécoise Patricia Tulasne, n'a cessé de faire la une des journaux ces derniers jours. Reconnu pour son caractère flamboyant, Rozon fait face à des accusations d'agression sexuelle portées par Tulasne et réclame à cette dernière la somme de 150 000$. Devant la Cour Supérieure du Québec, l'homme de spectacle a entièrement réfuté les allégations de l'actrice, posant sa défense sur un scénario qu'il a qualifié de ""consentement mutuel"". Selon Rozon, les événements qui se sont déroulés en 1994 – point névralgique de cette affaire judiciaire – sont le fruit d'une rencontre érotique consensuelle entre eux deux. De son côté, Tulasne maintient fermement sa position alléguant l'agression. L'actrice avait déjà raconté publiquement sa version des faits en 2018, suscitant une vague d’indignation à travers la province. Selon ses déclarations, après une soirée en compagnie de l'ancien producteur, ce dernier l'aurait agressé sexuellement dans son appartement. Rozon a non seulement nié catégoriquement ces allégations, mais a, à son tour, accusé l'actrice de diffamation. C'est ce qui explique la réclamation d'un montant de 150 000$ en dédommagement pour atteinte à sa réputation et à son honneur. Selon l'avocat de Rozon, l'actrice aurait odieusement déformé les faits et peint un tableau totalement faux de la rencontre entre les deux individus. Le récit de Tulasne a, vers la fin de 2017, incité plus d'une vingtaine d'autres femmes à relater des accusations similaires contre le magnat du festival Juste Pour Rire, déclenchant une onde de choc inégalée dans le milieu artistique québécois. C'est dans ce contexte que se trouve la figure de Rozon, dont l'image publique a été sévèrement entachée depuis le début de ce processus judiciaire. L'homme de spectacle s'est vu obligé de vendre ses droits à son festival et a été reconnu coupable d'agression sexuelle en 2020, un verdict toujours en appel. Pour l'instant, le juge se trouve devant une tâche complexe : réconcilier deux versions contradictoires des événements. Reste à savoir comment ce cas évoluera au cours des prochains mois, sachant les répercussions potentiellement significatives qu'il pourrait avoir sur l'image de la scène artistique québécoise. Dans ce feuilleton judiciaire, les protagonistes auront à prouver la véracité de leurs déclarations devant le tribunal. En attendant, le verdict n'est pas encore tombé et la confrontation entre Gilbert Rozon et Patricia Tulasne est loin de toucher à sa fin.",2594
3 GPT-4,Améli Pineda,un reportage santé,2020-04-25,https://www.ledevoir.com/societe/sante/577695/covid-19-se-battre-pour-rester-au-front,Une préposée se voit refuser un test de dépistage nécessaire pour faire garder son enfant,"Une situation inquiétante s'est présentée récemment dans la grande région montréalaise, soulevant de sérieuses questions sur la disponibilité des tests de dépistage de la COVID-19. Une préposée aux bénéficiaires (PAB), travaillant en première ligne face à cette pandémie dévastatrice, nous a confié sous anonymat qu'elle s'est vu refuser un test de dépistage nécessaire pour faire garder son enfant. Cette préposée, que nous appellerons par souci de confidentialité ""Claire"", est mère d'une petite fille de trois ans. Travaillant régulièrement dans le prêt-à-soigner, c'est à dire en contact direct avec des patients atteints par la COVID-19, elle est en mesure de fournir des soins essentiels tout en étant sous pression constante de la probabilité d'être infectée. En raison des risques élevés d'exposition au virus par son milieu de travail, la garderie de sa fille lui a récemment demandé de fournir un test négatif de dépistage de la COVID-19 pour la capacité de prendre en charge son enfant. Claire a alors pris rendez-vous dans une clinique pour se faire tester, expliquant à la secrétaire les circonstances qui motivaient sa demande. Toutefois, lors de son rendez-vous, elle s'est vu refuser le test. Les motifs? Le personnel de la clinique a expliqué qu'en raison de la pénurie de tests, ces derniers étaient actuellement réservés aux individus présentant des symptômes ou ayant été en contact étroit avec une personne diagnostiquée positive à la COVID-19. Claire, quant à elle, ne présente actuellement aucun symptôme. Toutefois, elle est en contact continu et régulier avec des personnes atteintes du virus à cause de son emploi. En outre, des études récentes suggèrent que les personnes asymptomatiques peuvent également transmettre le virus. Claire se retrouve donc coincée dans une situation délicate : sans ce test, elle ne peut pas envoyer sa fille à la garderie, et sans garderie, elle ne peut pas travailler. Ce cas, bien que singulier, exhume des questions cruciales autour de la disponibilité des tests et des critères actuels d'attribution. On se demande si, face à l'évolution de la situation, les critères actuels sont toujours adaptés, ou si un élargissement de ces critères ne serait pas nécessaire, tant pour protéger les travailleurs de la santé que pour garantir le fonctionnement quotidien des services essentiels. Reste à voir comment les autorités sanitaires réagiront face à ces nouvelles interrogations. Un équilibre est à trouver entre la gestion des ressources disponibles, qui restent limitées malgré les efforts d'augmentation de la production, et la prise en compte des réalités du terrain, parfois bien éloignées des prévisions initiales.",2677
3 GPT-4,Améli Pineda,un reportage judiciaire,2021-04-16,https://www.ledevoir.com/societe/598959/accusations-d-agression-sexuelle-andre-boisclair-subira-son-enquete-preliminaire-cet-automne,Agression sexuelle: André Boisclair subira son enquête préliminaire cet automne,"L'automne prochain s'annonce intense pour l'ancien chef du Parti Québécois, André Boisclair, qui fera face à son enquête préliminaire suite à des accusations d'agression sexuelle. Arrêté en 2020, Monsieur Boisclair est actuellement en liberté conditionnelle. C'est en novembre prochain que s'amorceront les audiences judiciaires permettant de déterminer s'il y a suffisamment de preuves pour amorcer un procès. Les faits reprochés à l'ex-leader politique remontent à 2014. Les détails spécifiques de l'accusation portent sur ""agression sexuelle avec l'aide d'une personne et entrave à la justice"". Valeurs pétrolières sous la main, l'ancien ministre de l'Environnement retourne vers la pénombre du monde juridique, un univers qu'il connait bien pour y avoir nagé dans sa jeunesse. Cette nouvelle confrontation avec les institutions judiciaires risque de mettre à l'épreuve l'acier de son caractère. Attribué par le code criminel comme un chef d'accusation de grande envergure, l'agression sexuelle avec l'aide d'une personne peut entraîner une peine maximale de 14 ans de réclusion. L'entrave à la justice, un autre chef d'accusation que Boisclair doit affronter, a des conséquences tout aussi sévères dans les textes de loi canadiens. Si les allégations s'avéraient vraies, l'ex-politicien pourrait se retrouver confronté à une peine sévère, incluant de la détention. Dans ce contexte, son équipe de défense, dirigée par Me Alan Guttman, aura un rôle crucial à jouer afin de faire valoir ses droits et présenter des arguments solides en sa faveur. Pour le moment, Monsieur Boisclair bénéficie de la présomption d'innocence, jusqu'à ce qu'un verdict soit prononcé. Ainsi, l'issue de l'enquête préliminaire sera déterminante pour la continuation de la procédure. Être la cible d'accusations de cette nature est loin d'être une situation anodine. La pression intense entourant de telles allégations peut peser lourdement sur l'accusé autant que sur l’accusateur. On peut s'attendre à ce que cette affaire soit scrutée de près par les médias. Évidemment, c'est le travail de la justice de faire la lumière sur cette affaire. Un processus qui doit être mené de manière impartiale et rigoureuse, cherchant à établir les faits et protéger les droits de tous les individus concernés. Ce procès est l'occasion de rappeler l'importance de l'équité judiciaire et la nécessité d'une procédure réglementée par des règles strictes. Le droit à un procès équitable est un pilier de notre système juridique, et c'est à ce droit que André Boisclair aura affaire cet automne. Nous surveillerons de près l'évolution de cette affaire dans les prochains mois, et vous tiendrons informés de chaque étape significative.",2696
3 GPT-4,Améli Pineda,un reportage judiciaire,2021-12-16,https://www.ledevoir.com/societe/654897/temoignages-des-victimes-presumees-aux-sentiments-partages-apres-l-entrevue-de-julien-lacroix,Des victimes présumées aux sentiments partagés après l’entrevue de Julien Lacroix,"La diffusion de l'entrevue accordée par Julien Lacroix à Tout le monde en parle dimanche dernier a réveillé une série d'émotions contradictoires chez les victimes présumées du comédien. Pour certaines, c'était un acte de réconciliation, une ouverture à des échanges futurs; pour d'autres, ce n'était qu'un simulacre de remords. Six mois après les allégations d'inconduite sexuelle contre l'humoriste, voilà que les témoignages de ces femmes refont surface. Le récit de leur histoire est teinté d’amertume et de confusion, alors que l’entrevue de Lacroix semble avoir enflammé les blessures plutôt que de les panser. Lors de cet entretien télévisé, Lacroix admet avoir fauté à plusieurs reprises et présente des excuses aux femmes qu’il a fait souffrir. «Mon comportement a été inacceptable et irrespectueux», a-t-il déclaré, affirmant vouloir réparer ses erreurs et contribuer à un meilleur environnement pour les femmes dans le monde du spectacle. Une posture qui ne convainc pas toutes ses victimes présumées. «Oui, il a parlé. Oui, il a dit qu'il était désolé. Mais est-ce suffisant?», s'interroge une des victimes présumées qui souhaite garder l'anonymat. «On ne peut pas effacer les traumatismes aussi facilement. Il y a encore beaucoup à faire pour rendre justice.» D'autres s'offusquent de l'opportunité qu'on a accordée à Julien Lacroix d'ouvrir son cœur à la télévision. «C'est comme si on permettait au bourreau de se faire passer pour la victime», fait remarquer une autre femme, faisant allusion à la portion de l'entrevue où le comédien aborde sa profonde dépression résultant de la tourmente médiatique. Néanmoins, il y a aussi celles qui saluent le courage de Julien Lacroix d'avoir accepté de s'exprimer publiquement. Elles espèrent que cette démarche inspirera d'autres hommes à faire preuve de la même humilité et à assumer leurs actes. Les réactions sont donc partagées face à ce moment télévisuel qui restera gravé dans les annales. Il démontre les divergences d'opinion marquées quant à la forme que devrait prendre le repentir public d'une personne reconnue coupable d'agressions sexuelles. Ce qu'il faut surtout retenir, c'est que derrière cette histoire se cachent des victimes encore ébranlées. Peu importe leur lecture de l'entrevue, elles attendent toujours des actions concrètes afin d'obtenir justice et d'assurer la prévention de tels comportements à l'avenir. Selon elles, l’aveu de culpabilité et la repentance publique de Julien Lacroix ne sont que la première étape d'un long cheminement vers la réconciliation et le changement.",2562
3 GPT-4,Améli Pineda,un reportage judiciaire,2021-04-15,https://www.ledevoir.com/societe/598853/agression-sexuelle-patricia-tulasne-poursuit-gilbert-rozon-pour-1-6-million-de-dollars,Agression sexuelle: la comédienne Patricia Tulasne poursuit Gilbert Rozon au civil,"Le grand public du monde de l'art francophone est de nouveau ébranlé par l'affaire Gilbert Rozon qui revient dans l'actualité judiciaire québécoise. L'homme d'affaires, reconnu pour son ascension fulgurante dans l'industrie de l'humour comme le fondateur de Juste pour rire, doit maintenant faire face à une poursuite civile, initiée par l'actrice Patricia Tulasne. Cette offensive juridique de Mme Tulasne intervient suite à l'acquittement de Rozon en décembre dernier par le tribunal criminel pour une accusation d'agression sexuelle sur une autre femme, dans des circonstances datant de 1980. L'artiste de renom, qui tient actuellement un rôle dans le téléroman District 31, reproche à Gilbert Rozon de l'avoir agressée sexuellement. La demande déposée au palais de justice de Montréal réclame une compensation financière dont le montant exact reste à être déterminé. Celle-ci se basera sur le préjudice moral et psychologique enduré par Patricia Tulasne lors de l'incident allégué qui s'est produit en 1994, ainsi que sur les pertes financières qu'elle aurait subies en conséquence de cet événement. En août dernier, on se souvient que Patricia Tulasne s'était jointe à un recours collectif contre Gilbert Rozon, qui réunissait plus de vingt femmes se présentant comme les « courageuses ». Ce recours, toujours en cours, cible des agresseurs sexuels et tente d'obtenir une indemnisation pour toutes les victimes. Si Gilbert Rozon a déjà annoncé son intention de contester la demande de la comédienne, son avocat n'a pas souhaité s'exprimer sur le sujet avec notre équipe de journaliste. De son côté, Patricia Tulasne se dit confiante quant à la suite des événements. Dans ce climat judiciaire tendu, l'opinion publique demeure partagée. Certains appuient Mme Tulasne dans sa démarche, tandis que d'autres se questionnent sur comment les faits allégués ont pu se produire. L'issue de la lutte juridique autour de cette affaire peut influencer la façon dont d'autres poursuites de ce genre seront perçues et gérées dans l'avenir. La prochaine audience civile concernant cette affaire devrait avoir lieu au début de l'année 2023. En attendant, c'est un monde de l'art divisé qui observe attentivement cette joute juridique. D'une part, les partisans de la comédienne qui espèrent un dénouement favorable à cette affaire; de l'autre, les défenseurs de Gilbert Rozon qui croient en l'innocence de l'homme d'affaires. Dans tous les cas, après un si long trajet au sein de ce processus juridique, Patricia Tulasne souhaite que justice soit faite. Le verdict de cette affaire pourrait avoir des répercussions significatives pour le mouvement #MoiAussi et pour toutes les personnes ayant vécu une situation similaire. Par conséquent, nous demeurons vigilants face à l'évolution de cette situation, en continuité avec notre rôle d'informateur du grand public. ",2854
3 GPT-4,Améli Pineda,un reportage judiciaire,2020-09-17,https://www.ledevoir.com/societe/586102/upac-l-affaire-guy-ouellette-a-provoque-son-depart-soutient-l-ex-numero-deux-de-l-upac,L’ex-numéro deux de l’UPAC soutient que l’affaire Guy Ouellette a provoqué son départ,"L'ex-numéro deux de l'Unité permanente anticorruption (UPAC), André Boulanger, a déclaré que son départ de l'organisation avait été directement provoqué par l'affaire Guy Ouellette. Boulanger a fait ces allégations lors de son témoignage devant la Commission des institutions dans le cadre de l'enquête sur l'arrestation controversée du député Guy Ouellette. À l'automne 2017, le député Ouellette avait été interpellé puis relâché sans accusation, en lien avec une série de fuites médiatiques concernant des enquêtes sensibles menées par l'UPAC. L'arrestation avait provoqué un tollé dans l'opinion publique. Boulanger a affirmé devant la commission que son départ de l'UPAC, survenu quelques semaines seulement après l'arrestation d’Ouellette, n'était pas une coïncidence. Selon lui, cet événement a exacerbé les tensions internes et créé un climat de méfiance au sein de l'unité. Il a ajouté que la gestion de l'arrestation d’Ouellette par le grand patron de l'UPAC, Robert Lafrenière, avait été maladroite et a miné la confiance entre les membres de l’équipe de direction. Tout au long de son témoignage, Boulanger a maintes fois exprimé son désarroi face à la situation. ""J'étais en désaccord avec la façon dont les choses se passaient"", a-t-il déclaré. ""Je ne pouvais plus travailler dans cet environnement."" Il a ajouté qu'il avait pris la décision de partir après avoir réalisé qu'il n'arriverait pas à changer la culture interne de l'UPAC. De son côté, l'UPAC n'a pas souhaité commenter specifiquement les allégations de Boulanger. L'unité a cependant réitéré sa position selon laquelle l'arrestation d’Ouellette était justifiée au vu des informations dont elle disposait à l'époque. Rappelons que l'affaire Guy Ouellette avait fait grand bruit non seulement en raison des accusations portées contre le député, mais également de la façon dont elles avaient été médiatisées. L’UPAC avait alors essuyé de nombreuses critiques pour sa gestion de la situation. Selon divers analystes judiciaires, le témoignage de Boulanger donne un éclairage inédit sur les manœuvres internes et les dissensions qui ont marqué l'UPAC durant cette période tumultueuse. Ils précisent toutefois que ces révélations ne permettent toujours pas de comprendre l'intégralité des enjeux entourant l'affaire Guy Ouellette. En définitive, ce témoignage soulève de nouvelles questions sur les circonstances entourant l'arrestation d’Ouellette. La Commission poursuit ses travaux dans le but d'éclaircir ces zones d'ombre.",2497
3 GPT-4,Améli Pineda,un reportage judiciaire,2021-04-01,https://www.ledevoir.com/societe/598035/attaque-de-l-agent-vig-ali-ngarukiye-espere-etre-relache-en-attendant-son-proces,Agression du policier Vig: Ali Ngarukiye espère être relâché en attendant son procès,"Dans la perspective de son procès prochain, Ali Ngarukiye, accusé d'avoir agressé gravement l'agent de la police de Montréal, Sanjay Vig, en février dernier, espère être relâché sous caution. Les récents développements judiciaires relatifs à son affaire soulèvent de multiples questions sur la détention préventive et le droit des accusés dans le système de justice pénale québécois. En effet, l'honorable juge de la Cour du Québec devra décider du sort de Ngarukiye, en délibérant sur sa remise en liberté sous caution, suite à sa demande formulée lors de sa comparution devant la cour le mois dernier. L'accusé, âgé de 21 ans seulement, reste en détention provisoire depuis son arrestation, après l'incident troublant qui a eu lieu dans le quartier de Parc-Extension. Pour rappel, le policier Sanjay Vig, âgé de 32 ans, a été sérieusement blessé à la tête lors de cette intervention dans la nuit glaciale du 7 février. Bien que le jeune officier ait survécu à cet assaut violent, son état de santé a récemment fait surface comme élément préoccupant du litige. Sa lente convalescence, alliée à son incapacité actuelle de retourner en service, souligne l'importance du contexte dans lequel cette demande de mise en liberté sous caution est examinée. L'avocat de la défense affirme que Ngarukiye n'est pas un danger pour la société et insiste sur l'innocence présumée de son client, conformément aux principes fondamentaux du droit criminel. Selon lui, la détention préventive de Ngarukiye pourrait nuire au droit de celui-ci à un procès équitable, un argument qui pourrait peser lourdement dans la balance lors des délibérations du juge. Néanmoins, le procureur de la Couronne réfute ces arguments, pointant du doigt la gravité des accusations qui pèsent sur Ngarukiye, dont celle de tentative de meurtre sur agent de la paix dans l'exercice de ses fonctions. Il ajoute que le danger potentiel que représente l'accusé pour la société doit primer sur son propre intérêt d'être libéré en attente de son procès. La situation compliquée de Ngarukiye, qui pourrait passer plusieurs mois en détention préventive, ainsi que l'impact de l'agression sur la vie du policier Vig, alimentent le débat public autour de ce cas. Cela met en lumière les difficultés inhérentes à l'équilibre entre le respect des droits des accusés et la protection de la société. La prochaine apparition de Ngarukiye en cour est prévue pour le 7 juin. D'ici là, la décision tant attendue de la Cour quant à sa demande de mise en liberté sous caution devrait permettre d'éclairer davantage ce cas judiciaire complexe et controversé. Ainsi, en attendant son procès, l'accusé, Ali Ngarukiye, reste dans l'incertitude. La question cruciale de sa libération conditionnelle souligne la complexité du processus judiciaire et interroge les limites du système de justice pénale. Entre la sécurité des citoyens et la présomption d'innocence, le sort d'Ali Ngarukiye demeure suspendu à la décision du juge. ",2963
3 GPT-4,Améli Pineda,un reportage judiciaire,2021-07-15,https://www.ledevoir.com/societe/617958/erreur-sur-la-personne-mamadi-iii-fara-camara-intente-une-poursuite-civile-de-1-2-million-contre-le-spvm-et-le-dpcp,"Mamadi Camara et ses proches poursuivent le SPVM et le DPCP pour 1,2 million de dollars","Mamadi Camara, doctorant à Polytechnique Montréal, ainsi que ses proches, ont déposé devant la cour une poursuite d'un montant de 1,2 million de dollars à l'encontre du Service de police de la ville de Montréal (SPVM) et du Directeur des poursuites criminelles et pénales (DPCP). Cette décision fait suite à l'arrestation jugée abusive de M. Camara en janvier dernier. La plainte a été déposée à la Cour supérieure du Québec le mardi 10 août. Les allégations mettent en lumière plusieurs irrégularités dans les procédures qui, selon les plaignants, ont conduit à une détention injuste de M. Camara pendant six jours. L'homme de 31 ans avait été accusé à tort d'avoir désarmé et tiré sur un policier du SPVM lors d'une intervention routière. Dans les documents de la cour, la famille Camara soutient que tant le SPVM que le DPCP ont agi de manière « irresponsable et négligente » lors de leur enquête. Leur manquement à respecter les principes fondamentaux de justice a conduit à une cascade d'erreurs judiciaires, estiment les plaignants. Une déclaration d'intention signée par l'avocat de la famille, Me Virginie Dufresne-Lemire, révèle que « Mamadi Camara et ses proches souffrent depuis l'arrestation, et ils vivent avec l’angoisse permanente que cela puisse se reproduire à tout moment ». Le montant de 1,2 million de dollars réclamé correspond à une compensation pour le préjudice moral subi par M. Camara et les membres de sa famille. La poursuite stipule que ces dommages sont le résultat d’une atteinte à la dignité, à la réputation et à l’intégrité psychologique du jeune doctorant et de ses proches. Le SPVM et le DPCP ont tous deux confirmé qu’ils étaient au courant de la poursuite et analysaient actuellement les allégations. Il est important de rappeler que le 3 février dernier, M. Camara avait été acquitté de toutes les accusations portées contre lui, six jours après son arrestation. Les résultats des analyses de divers prélèvements effectués sur la scène de l'incident contredisaient les premières déclarations des policiers sur place. Depuis, l'administration municipale a reconnu les failles dans le système de justice qui ont conduit à cette affaire. L'ombudsman de Montréal, Me Johanne Savard, avait elle-même publié un rapport révélateur, critiquant lourdement le SPVM pour les nombreuses irrégularités dans cette affaire. En attendant les suites de la poursuite, la famille Camara et leur avocat espèrent que leur action judiciaire contribuera à améliorer les procédures judiciaires et prévenir de telles injustices à l'avenir. ",2554
