signataire_original,type,date,url,titre,début
Améli Pineda,une chronique culturelle,2020-04-14,https://www.ledevoir.com/culture/ecrans/576964/coronavirus-s-evader-sur-des-iles-entre-amis,"«Animal Crossing», ou s’évader sur des îles entre amis","Malgré les directives de la santé publique, Catherine et Mélanie ont trouvé le moyen de contourner les règles de confinement. Chaque jour, elles se rendent visite, discutent dans leur cuisine et organisent des sorties culturelles. Comme des milliers d’autres joueurs, elles ont trouvé le remède à l’isolement imposé par la pandémie à travers le jeu de simulation Animal Crossing : New Horizons. « Je ne croyais pas que de ne plus pouvoir sortir aurait autant d’impact », confie Mélanie Presseau-Dumais, une Québécoise exilée depuis novembre à Boston. À la suite de son déménagement, Mme Presseau-Dumais a réalisé la difficulté de rester en contact avec son cercle social de Montréal sans se déplacer. Or, le confinement qu’exige la crise de la COVID-19 vient de lui permettre de renouer avec plusieurs amis, qui comme elle trouvent refuge sur leur île virtuelle. Ils sont des milliers à travers le monde à se brancher à leur console Nintendo Switch pour retrouver la banalité de certains gestes parfois proscrits à cause de la pandémie. Redécorer une pièce de sa maison, cultiver son jardin, chasser des insectes ou pêcher des poissons : les activités permettant de « s’évader » sont nombreuses, et certaines se font parfois même en groupe. « C’est rendu un rendez-vous quotidien avec mon amie. Chaque jour, on se téléphone et on va visiter nos îles respectives et parler de l’aménagement de nos jardins, des nouvelles pièces dans nos maisons, on discute de tout et de rien comme avant et ça fait vraiment du bien », souligne Mélanie Presseau-Dumais. Habituée des jeux en ligne, elle fait également partie d’un salon de clavardage (chatroom) avec quelques autres amis, où les joueurs partagent des conseils pour améliorer leurs îles respectives. C’est justement la possibilité de se réunir, même si ce n’est pas physiquement, qui a incité Catherine et Axel à recommander le jeu à plusieurs membres de leur entourage. Le couple a acheté le jeu dès sa sortie, le 19 mars, puisque Catherine revenait de voyage et s’attendait à ce que le confinement dure des semaines. « Je ne suis pas prête à dire que ça m’aide à échapper à la crise de la COVID-19, mais c’est la façon que j’ai trouvée pour faire mon social », explique celle qui est professeure au cégep. Le caractère non compétitif du jeu a aussi permis à Axel — sur son île baptisée « Quarantaine », clin d’œil à la pandémie — de garder des repères en cette période où certains perdent la notion du temps. « Ça contribue à avoir une petite routine. Il y a quand même des objectifs journaliers à accomplir, alors lorsqu’on y consacre aussi peu qu’une heure par jour, on peut réussir à effectuer plusieurs tâches et ça fait du bien », dit-il."
Améli Pineda,un reportage judiciaire,2021-07-21,https://www.ledevoir.com/societe/619614/agression-du-policier-vig-ali-ngarukiye-subira-une-evaluation-psychiatrique,​Agression du policier Vig: Ali Ngarukiye subira une évaluation psychiatrique,"Le « véritable suspect » de l’attaque contre le policier Sanjay Vig, Ali Ngarukiye, devra subir une évaluation psychiatrique à l’Institut Pinel durant les 30 prochains jours. Durant sa détention, l’homme de 21 ans a aussi été accusé d’avoir tué son codétenu. « On demande une évaluation pour déterminer son état mental au moment de commettre les infractions alléguées, soit la tentative de meurtre [contre le policier Sanjay Vig] ainsi que le meurtre [de son compagnon de cellule] », a mentionné son avocat, Me Lloyd Fischler. Ali Ngarukiye a comparu par visioconférence à partir d’une cellule à haute sécurité où il n’est possible de voir qu’une partie de son visage. Sa conjointe et d’autres membres de sa famille étaient présents au Palais de justice de Montréal, mais n’ont pas souhaité s’adresser aux médias."
Améli Pineda,un reportage judiciaire,2020-12-17,https://www.ledevoir.com/societe/591885/violences-sexuelles-en-lutte-pour-une-reforme-du-systeme,Annick Charette en lutte pour une réforme du système,"À la suite de l’acquittement de Gilbert Rozon, la plaignante Annick Charette s’avoue encore sous le choc, estimant n’avoir été qu’une spectatrice pendant le procès pour viol et attentat à la pudeur de l’ancien magnat de l’humour. Elle mesure aujourd’hui la disproportion des moyens entre l’accusé et la victime alléguée et souhaite voir le système de justice réformé. « J’avais à grimper une montagne 10 fois plus élevée que celle de l’accusé, qui lui n’avait qu’à semer quelque part la notion du doute raisonnable », confie Mme Charette, en entrevue avec Le Devoir. Malgré l’issue du procès, la femme de 60 ans ne regrette pas de s’être embarquée dans ce processus judiciaire il y a pratiquement trois ans jour pour jour, lorsque le Directeur des poursuites criminelles et pénales lui a annoncé que sur les 14 plaintes analysées, seule la sienne avait été retenue. « Ça serait de faire un pas en arrière de dire que ça n’a pas valu la peine. Si on dit ça, ça donne le champ libre à tous les agresseurs et c’est la dernière chose que je veux », répète-t-elle. « Ce que je souhaite, c’est qu’ils sentent que tout le monde a un œil là-dessus et que le temps sera bientôt révolu. » Si elle a demandé à la juge Mélanie Hébert de lever l’ordonnance de non-publication sur son identité mardi, c’est pour pouvoir s’exprimer sur le parcours de combattante que vivent les survivantes de violences sexuelles. « Qu’est-ce que j’aurais pu faire de plus ? » se questionne-t-elle depuis que la juge Hébert a rendu sa décision. « Je pense que j’ai été un bon témoin. Oui, il y a des trous dans mon histoire, mais ça fait 40 ans que c’est arrivé. Je suis une personne honnête, je n’ai pas cherché à remplir ces trous-là, mais mon honnêteté n’a pas payé », laisse-t-elle tomber. Rattrapage Le décalage entre la prise de conscience sociale à la suite du mouvement #MoiAussi et la réalité des tribunaux ne peut perdurer, croit-elle. « Le jugement [rendu mardi] est logique en fonction du droit, mais absurde en fonction de ce que la société souhaite », souligne-t-elle. Sa plus grande frustration est que les plaignantes ne soient encore que des observatrices d’un procès qui concerne pourtant un événement qu’elles ont vécu. « Il est vrai que les parties ne sont pas à armes égales devant le Tribunal. Mais il importe de rappeler que cette inégalité résulte de l’application du principe de la présomption d’innocence », a d’ailleurs souligné la juge Hébert dans son jugement. Dans son cas, cette iniquité s’est illustrée par un accusé bénéficiant des conseils non pas d’un, mais de trois avocats, dont deux émérites figurant au palmarès des meilleurs juristes de la province. « ﻿Ils ont pu passer à travers toutes les virgules de [ma déclaration aux policiers] et trouver des façons de me déstabiliser. Ça fait trois ans que M. Rozon sait ce que je vais dire, ça fait trois ans que M."
Améli Pineda,un reportage judiciaire,2021-06-23,https://www.ledevoir.com/societe/613233/agression-sexuelle-annick-charette-poursuit-gilbert-rozon-au-civil-pour-agression-sexuelle,​Annick Charette poursuit Gilbert Rozon au civil pour ​agression sexuelle,"Six mois après l’acquittement de Gilbert Rozon, la plaignante Annick Charette se tourne vers le tribunal civil et lui réclame 1,3 million de dollars. Elle devient la quatrième femme à intenter une poursuite contre l’ex-magnat de l’humour, qu’elle accuse de l’avoir non seulement violée en 1980, mais aussi d’avoir menti et de l’avoir dépeinte comme une « délurée » lors de son procès en octobre dernier. « Dans son témoignage lors du procès criminel, [Gilbert Rozon] a menti non seulement en niant la version d’[Annick Charette], mais également en inventant de toutes pièces un scénario qui inversait les rôles, un scénario grotesque dans lequel c’est [elle] qui était l’agresseur, et [M.] Rozon la victime », peut-on lire dans la requête déposée mercredi au palais de justice de Montréal. Annick Charette a porté plainte à la police dans la foulée du mouvement #MoiAussi en octobre 2017 après que neuf femmes ont raconté les agressions subies de la part de M. Rozon au Devoir ainsi qu’au 98,5 FM. Sur les quatorze plaintes analysées par le Directeur des poursuites criminelles et pénales, seule la sienne avait été retenue. Devant deux versions aux antipodes, le tribunal a acquitté en décembre le fondateur de Juste pour rire des accusations de viol et d’attentat à la pudeur qui pesaient contre lui. Faute d’avoir vu M. Rozon condamné, Mme Charette a décidé d’emboîter le pas à la comédienne Patricia Tulasne, qui est devenue le 15 avril la première femme à intenter individuellement une poursuite civile contre lui, de 1,6 million, ainsi qu’à la réalisatrice Lyne Charlebois, qui lui réclame 1,7 million, et à l’artiste Danie Frenette, qui demande 2,2 millions. En optant pour la voie civile, Mme Charette n’aura pas à prouver hors de tout doute raisonnable la culpabilité de M. Rozon. Au civil, on parle plutôt d’une preuve par prépondérance, c’est-à-dire qu’elle devra convaincre un juge qu’il est plus probable qu’elle ait été violée que l’inexistence de l’agression, a récemment résumé la juriste Suzanne Zaccour dans une entrevue au Devoir. La directrice générale de Juripop, Sophie Gagnon, a aussi déjà rappelé que la différence entre l’avenue criminelle et l’avenue civile est que la première vise à « punir » l’agresseur, tandis que l’autre vise à indemniser la victime pour les dommages subis. M. Rozon a indiqué qu’il ne souhaitait faire aucun commentaire. Comme un « deuxième viol » Si elle se tourne vers le civil, c’est que le processus au criminel s’est avéré une expérience difficile, mentionne Mme Charette dans sa requête. Les seuls éléments sur lesquels son récit et celui de M. Rozon étaient similaires concernaient leur rencontre en 1980 dans une station de radio des Laurentides à l’époque où M. Rozon organisait le festival La Grande Virée, ainsi que leur sortie dans une discothèque de Saint-Sauveur. Devant la juge Mélanie Hébert, Mme Charette avait raconté qu’après une soirée avec M."
Améli Pineda,un reportage judiciaire,2020-06-01,https://www.ledevoir.com/societe/579929/messes-et-prieres-en-ligne-apprendre-a-pratiquer-la-religion-virtuellement,Apprendre à pratiquer la religion virtuellement,"YouTube, Instagram et Facebook, c’est par les réseaux sociaux que le père Dominic LeRouzès rejoint de nombreux croyants depuis le début de la pandémie. Ce prêtre, sans doute un des plus technos de la province, propose des rendez-vous quotidiens pour célébrer la messe ou des moments de recueillement, en attendant la réouverture des lieux de culte. « Actuellement, l’ouverture des lieux de culte figure au bas de la liste des différentes phases du déconfinement. Il n’y a même pas de date prévue, alors c’est certain qu’il y a vraiment un engouement pour ce qu’on fait en ligne », explique celui que tous surnomment «père Dominic». Difficile au premier regard de croire que ce vicaire de 46 ans, vêtu sobrement d’un clergyman noir et arborant un col romain, se décrive comme un youtubeur. « On imagine souvent les prêtres comme étant des personnes très âgées, vivant dans un presbytère et qui attendent que les gens viennent se confesser à eux », dit-il. Le père Dominic est loin de cette image. « Quand j’étais jeune et que j’accompagnais mes parents à la messe, je souffrais ! J’aimais le bon Dieu, j’aimais pouvoir communier, mais, chaque fois, je me demandais comment les “tounes” pouvaient être aussi plates, alors qu’à l’extérieur on écoutait de la bonne musique », raconte-t-il. Il a rapidement compris que, pour amener la parole de Dieu aux gens, il faut parler le même langage. « Pour moi, la rencontre de la foi et de la culture est capitale, parce que, si on reste confinés dans notre “cathosphère”, on est comme une goutte d’huile au milieu de l’eau », dit-il. Lorsque la fermeture des lieux de culte a été annoncée par le premier ministre François Legault le 15 mars dernier, il a tout de suite lancé l’idée de webdiffuser la messe. « Le but, c’était de pouvoir continuer à soutenir les personnes pendant cette épreuve », souligne le père Dominic. « Je sais que j’explose beaucoup de préjugés. J’explore une nouvelle manière d’être prêtre, tout en restant fidèle à la foi catholique », poursuit-il. Avec le diocèse de Québec, non seulement le projet s’est concrétisé, mais il a aussi donné lieu à trois autres rendez-vous quotidiens sur le site ECDQ.tv, la webtélé de l’Église catholique de Québec. Bouclé en moins d’une journée, le projet a même amené le père Dominic à déménager de la Beauce à Québec le temps de la pandémie. Chaque matin, à 9 h précises, un « topo du jour » est d’abord présenté pour faire le point sur les dernières actualités. Cette semaine, le père Dominic a même profité de sa tribune pour promouvoir les dons de sang. « Pour moi, c’est important de montrer qu’un prêtre, ce n’est pas juste dans une église en train de prier. Il y a autre chose, il y a un engagement envers la communauté, et voilà un geste concret et encourageant », dit-il."
Améli Pineda,un reportage judiciaire,2020-11-17,https://www.ledevoir.com/societe/589816/l-action-collective-des-courageuses-contre-gilbert-rozon-rejetee,Comme une «gifle» au visage des victimes,"La force du nombre n’aura pas réussi à ébranler les colonnes de la justice, se désolent Les Courageuses, après avoir subi un important revers devant la Cour suprême qui met fin à l’action collective qu’elles voulaient intenter contre Gilbert Rozon. « C’est une gifle, pas seulement au visage des Courageuses, mais aussi à celui de toutes les victimes d’agression sexuelle », a lancé la comédienne Patricia Tulasne, porte-parole des Courageuses. Le plus haut tribunal du pays a rejeté lundi la demande d’appel des Courageuses. Comme c’est habituellement le cas, la Cour suprême n’a pas à expliquer les motifs de sa décision. L’ancien magnat de l’humour obtient donc gain de cause près de deux ans après le début des procédures : l’homme de 66 ans ne pourra pas être visé par une action collective. « Depuis le début de ce processus judiciaire, nous avons répété que l’action collective ne pouvait être utilisée dans ce type de situation, où chaque cas est individuel et doit être prouvé au cas par cas », a commenté l’avocat de M. Rozon, Me Raymond Doray. « Nous sommes très heureux que cela soit maintenant reconnu par la Cour suprême, [ce qui met] fin ainsi à un processus que nous avons toujours considéré comme injustifié », a-t-il ajouté. C’est une gifle, pas seulement au visage des Courageuses, mais aussi à celui de toutes les victimes d’agression sexuelle — Patricia Tulasne Créé dans la foulée du mouvement de dénonciation #MoiAussi, Les Courageuses était composé d’une vingtaine de femmes affirmant avoir été agressées par Gilbert Rozon, entre 1982 et 2016. Ensemble, elles souhaitaient exercer cette action contre l’ancien magnat de l’humour pour obtenir un dédommagement de 10 millions en dommages punitifs seulement. Elles estimaient avoir été victimes d’un modus operandi créé par M. Rozon qu’elles accusaient de les avoir harcelées ou agressées sexuellement, voire les deux. « C’est vraiment décevant et choquant », a dit Mme Tulasne, en entrevue avec Le Devoir. « La Cour suprême accepte d’entendre Mike Ward qui se moque d’un handicapé, mais ne veut pas écouter des femmes victimes du crime sexuel le plus répandu au pays. C’est comme si on nous disait que la cause ne vaut pas la peine », a-t-elle ajouté avec émotion. Cas inédit Ce qu’il ne faut pas perdre de vue, soulignent des avocats, c’est que l’action des Courageuses constituait un cas inédit, puisque c’est la première fois au pays qu’une requête visait uniquement un individu sans le rattacher à une institution. « Aux yeux de la société, c’était un dossier hautement symbolique parce qu’il était lié au mouvement #MoiAussi. Les risques de déception sont grands puisque, devant un tribunal, ces dossiers-là sont traités comme les autres », a souligné Me Sophie Gagnon, directrice générale de Juripop, qui offre notamment ses services aux victimes de violences sexuelles."
Améli Pineda,un reportage judiciaire,2020-10-15,https://www.ledevoir.com/societe/587794/viol-et-attentat-a-la-pudeur-la-victime-n-a-pas-dit-non-selon-la-defense,Gilbert Rozon se pose en victime consentante à son procès,"Gilbert Rozon soutient que c’est plutôt lui qui s’est « laissé faire » par la victime présumée à son procès pour viol et attentat à la pudeur. Le fondateur de Juste pour rire a soutenu mercredi avoir « accepté son sort » après que la plaignante eut amorcé une relation sexuelle après une soirée dans une discothèque des Laurentides en 1980. « Aussi étonnant que ça puisse paraître, je me suis réveillé vers 7 h du matin et j’avais [la plaignante] qui était à califourchon sur moi. C’est elle qui était en train de me faire l’amour », a affirmé le fondateur de Juste pour rire. Tout de noir vêtu, l’ancien magnat de l’humour s’est avancé calmement à la barre des témoins mercredi. L’homme de 65 ans, qui s’est présenté comme un « retraité », a confirmé avoir passé une soirée avec la plaignante, qu’il a rencontrée dans une station de radio il y a 40 ans, mais a contredit sa version des événements. « Je sais que des gens trouveront ça incroyable, mais c’est ce que j’ai vécu. Je n’inventerais pas une histoire comme ça », a-t-il assuré. M. Rozon a livré un témoignage détaillé de cette soirée, soulignant d’abord qu’il n’avait jamais prétexté devoir récupérer des documents chez sa secrétaire. La résidence où les événements se sont déroulés est le chalet d’une amie qui étudiait en droit avec lui. M. Rozon a raconté qu’une fois qu’ils sont arrivés à destination, il a allumé un feu de foyer afin d’instaurer une ambiance « romantique ». Loin de la bousculade décrite la veille par la victime alléguée, il a dit avoir commencé à la caresser, après quoi aurait eu lieu un échange de baisers. « J’ai voulu mettre la main sous sa jupe », a-t-il dit en mimant le geste devant la juge Mélanie Hébert. « Elle s’est raidie et elle m’a dit non et j’ai arrêté tout de suite », a-t-il assuré. Il a nié avoir « arraché » quelque bouton que ce soit de la blouse de la femme comme elle l’a affirmé devant le tribunal lors de son témoignage. « Dépité », M. Rozon dit avoir suggéré à la plaignante d’aller se coucher chacun de leur bord, dans deux chambres différentes. « Je me souviens d’avoir pensé qu’elle avait peut-être ses menstruations ou qu’elle avait un copain dans sa vie […] J’ai aussi pensé qu’elle était peut-être vierge », a-t-il expliqué, ajoutant qu’il ne lui avait toutefois pas posé de questions sur le malaise qu’elle semblait avoir ressenti. S’il se souvient de cette soirée, c’est parce qu’à 7 h du matin, il s’est réveillé avec la plaignante à califourchon sur lui, a-t-il dit. « Elle était en train de me faire l’amour, a-t-il raconté. Je me souviens que je me suis dit : “Elle est ben weird”. » M. Rozon a ensuite utilisé les mêmes termes que la victime alléguée pour décrire une partie de la soirée, soutenant que c’est lui qui s’est « laissé faire ». « J’ai pris mon plaisir, mais j’étais tellement étonné que d’une certaine manière ç’a gâché mon plaisir. Elle regardait l’horizon, comme si elle se faisait l’amour à elle-même […] J’ai accepté mon sort parce que ça m’arrangeait », a-t-il déclaré."
Améli Pineda,un reportage judiciaire,2020-03-26,https://www.ledevoir.com/societe/575766/pandemie-la-delation-mesure-ultime-de-protection,"La délation, mesure ultime de protection","Bien que Québec ait interdit tout rassemblement extérieur et intérieur pour limiter la propagation du coronavirus, Audrey* a vu débarquer de nombreux visiteurs chez un voisin. Comme beaucoup de Québécois, elle s’est sentie tiraillée entre sa responsabilité citoyenne de faire appel à la police et la crainte d’avoir l’air de paniquer. « Est-ce que j’aurais dû dénoncer ? Jusqu’où va notre responsabilité citoyenne », se questionne Audrey, dans un courriel transmis au Devoir. La réflexion d’Audrey est présente dans l’esprit de bien des citoyens depuis que le premier ministre, François Legault, a formulé de nouvelles directives pour lutter contre la COVID-19. Mercredi, la police de Gatineau a délivré un constat d’infraction de 1000 $ à un résident qui a organisé une soirée chez lui avec cinq amis, à la suite d’un signalement. Sur les réseaux sociaux, les photos d’aînés dans une épicerie ou encore de jeunes rassemblés dans un parc pullulent également. « L’idée, c’est qu’en ce moment il y a des efforts considérables qui sont demandés à tout un chacun. Que ce soit le confinement ou l’arrêt des activités économiques, chacun y va d’un sacrifice personnel qui est important », souligne Corinne Gendron, professeure au département de responsabilité sociale et environnementale de l’École des sciences de la gestion de l’UQAM. En ce qui concerne ces efforts, les citoyens « obéissants » peuvent être choqués de constater que d’autres ne se conforment pas aux consignes du directeur de la santé publique, Horacio Arruda, qui exhorte quotidiennement les Québécois à s’isoler pour « aplanir la courbe ». « La propension à vouloir dénoncer des gens peut être motivée par une perspective personnelle. Si tu te prives d’une certaine liberté [pour le bien commun], tu aimerais que tout le monde fasse le même effort pour se sortir de la situation », note Mme Gendron. Cette réalité, Roxana* y a été exposée lorsqu’elle a dû exiger de son colocataire qu’il quitte leur domicile, car il refusait de respecter les directives de santé publique. « J’ai eu une grippe, une pneumonie et une infection des voies respiratoires. Avant même que ce soit recommandé, je m’étais déjà isolée parce que je sais que mon système est trop faible en ce moment pour ne pas attraper le virus », explique-t-elle. Jusqu’au début de la semaine, son colocataire continuait toutefois à sortir pour se rassembler avec des amis et omettait de désinfecter les objets qu’il touchait une fois revenu à l’appartement. « J’ai tenté de lui rappeler que ça n’allait pas être comme ça toute la vie, que c’est temporaire, mais j’ai l’impression qu’il me trouvait contrôlante et exagérée. J’ai dû en arriver à lui dire que soit il quittait la maison pour les deux prochaines semaines, soit j’appelais la police », confie Roxana, encore ébranlée d’en être arrivée à un tel avertissement. « Mon but n’était pas qu’on lui donne une amende, mais je me disais que, si un policier lui parlait, il allait peut-être réaliser la gravité de son comportement en temps de pandémie », ajoute-t-elle."
Améli Pineda,un reportage judiciaire,2020-12-04,https://www.ledevoir.com/societe/591013/quebec-la-sq-propose-une-grande-fusion-des-corps-de-police,La SQ propose une grande fusion des corps de police,"La Sûreté du Québec (SQ) propose une vaste refonte de la carte policière de la province qui pourrait réduire le nombre de corps de police de 31 à 7. Les services de police de plus petite envergure auraient le choix de fusionner ou d’intégrer la SQ, propose l’organisation dans son mémoire rendu public vendredi dans le cadre de la consultation sur la réalité policière. « Si on veut être uniformes, efficaces et efficients, il faut que les corps de police se regroupent ensemble », fait valoir Johanne Beausoleil, directrice générale par intérim de la SQ. Pour la première fois depuis son arrivée à la tête du corps de police nationale il y a un an, Mme Beausoleil s’est entretenue avec les médias, dont Le Devoir, pour présenter le mémoire qu’a déposé la SQ dans le cadre de la réflexion sur le livre vert sur la police. Parmi les recommandations phares, la SQ soumet l’idée de fusionner le maximum de corps de police. Ainsi, dans un scénario « extrême », le territoire québécois serait desservi par 7 corps de police plutôt que les 31 actuels. « Si on prend la Rive-Nord, actuellement on a des corps de police à Saint-Jérôme, à Mirabel, à Sainte-Thérèse, à Saint-Eustache, à Deux-Montagnes, et la SQ, nous sommes présents à Oka. Nous sommes pleins d’entités qui travaillons chacune avec nos ressources alors qu’il y aurait moyen d’offrir des services plus efficaces en se regroupant au lieu de tous travailler en petite indépendance », dit Mme Beausoleil. Dans le même ordre d’idée, la SQ envisage de mettre en commun des ressources et des équipements. « La dernière année [avec la pandémie] a été une année de concertation et de travail d’équipe. On veut que tous aient les moyens de leurs ambitions, même les plus petits corps de police », dit-elle. La SQ n’a cependant pas voulu dessiner cette nouvelle carte. « Ce qu’on dit, c’est qu’il faudrait se regrouper soit en régie régionale ou leur donner l’opportunité d’intégrer la SQ », indique Mme Beausoleil. L’organisation propose de ramener à trois le nombre de niveaux de services établis actuellement à six par le ministère de la Sécurité publique. À l’heure actuelle, les corps de police municipaux doivent fournir un certain niveau de service selon la population qu’ils desservent ou leur localisation géographique. Des villes de moins de 100 000 habitants, comme Granby par exemple, sont actuellement classées au niveau 1, tandis que Montréal, qui a plus de 1 million d’habitants est au niveau 5. Plutôt que de considérer la population comme critère, la SQ propose de tenir compte de la charge de travail. Ainsi, elle avance que le Service de police de la Ville de Québec et le Service de police de la Ville de Montréal seront classés au niveau 2."
Améli Pineda,un reportage judiciaire,2021-05-15,https://www.ledevoir.com/societe/601562/violence-conjugale-le-poids-de-la-violence,Le poids de la violence,"Ils ont souvent tout vu, tout entendu, et pourtant, les données concernant les enfants exposés à la violence conjugale sont quasi inexistantes au Québec, à l’heure où les signalements des femmes contre leurs conjoints sont en hausse. Ces victimes collatérales ne doivent pas tomber dans l’oubli dans la lutte contre la violence conjugale, affirment experts et intervenants du milieu. « Ça ne fait pas très longtemps qu’on étudie l’exposition des enfants à la violence conjugale, comparativement à d’autres formes de maltraitance, comme les abus sexuels, les sévices physiques ou la négligence », note Geneviève Lessard, directrice du centre Recherches appliquées et interdisciplinaires sur les violences intimes, familiales et structurelles (RAIV). Des enfants exposésà la violence Environ 7 % des enfants du Québec ont été exposés à la violence conjugale vécue par leur mère au cours des 12 mois précédant la dernière enquête de l’Institut de la statistique du Québec, menée en 2018. Environ 6 % des enfants ont été exposés à de la violence psychologique et verbale, notamment des insultes ou des menaces, 2 % à de la violence sous forme de contrôle, par exemple être suivi ou ne pas avoir le droit de voir des amis, et environ 1 % ont été exposés à de la violence physique, ayant été témoins de coups donnés à leur mère ou d’autres gestes agressifs. Ces données sous-estiment sans doute la réalité des jeunes qui grandissent dans un climat de stress et de tension causé par la violence conjugale, croit Mme Lessard. Avec une équipe de chercheurs, elle a récemment mené une enquête qualitative sur les conséquences de l’exposition à la violence conjugale, à laquelle 40 jeunes âgés de 18 à 25 ans ont participé. Ce texte fait partie de notre section Perspectives. « On utilise le terme “exposition” pour éviter de créer de la confusion, puisque les jeunes ne sont pas toujours témoins visuellement des événements. Toutefois, même si c’est une victimisation indirecte, les conséquences peuvent être aussi graves que celles vécues par une victime directe », mentionne la professeure titulaire à l’École de travail social et de criminologie de l’Université Laval. Il en ressort notamment que les enfants vivent pratiquement la même dynamique relationnelle que leur mère avec le conjoint violent lors des quatre phases du cycle de violence. « Ils ressentent la tension, craignent l’escalade de violence, puis, lorsque ça explose, ils vont vivre avec un sentiment de culpabilité, de honte et de responsabilisation de ne pas avoir pu désamorcer la situation », explique Mme Lessard. Puis, vient l’accalmie : le conjoint violent justifie ses gestes et, tout comme sa mère, l’enfant espère que ça ne se reproduira plus, note-t-elle."
