signataire_original,type,date,url,titre
Améli Pineda,un reportage judiciaire,2021-03-20,https://www.ledevoir.com/societe/597310/double-feminicide-a-sainte-sophie-une-ex-conjointe-du-suspect-juge-ne-pas-avoir-ete-prise-au-serieux,Double féminicide à Sainte-Sophie: une ex-conjointe du suspect juge ne pas avoir été prise au sérieux
Améli Pineda,un reportage judiciaire,2021-04-08,https://www.ledevoir.com/societe/598459/violence-conjugale-un-homme-qui-a-agresse-son-ex-recherche,Violence conjugale: la police recherche un homme qui a agressé son ex-conjointe
Améli Pineda,un reportage judiciaire,2021-09-17,https://www.ledevoir.com/societe/633225/agression-sexuelle-gilbert-rozon-nie-avoir-agresse-patricia-tulasne-et-lui-reclame-150-000,Gilbert Rozon nie avoir agressé sexuellement Patricia Tulasne et lui réclame 150 000$
Améli Pineda,un reportage santé,2020-04-25,https://www.ledevoir.com/societe/sante/577695/covid-19-se-battre-pour-rester-au-front,Une préposée se voit refuser un test de dépistage nécessaire pour faire garder son enfant
Améli Pineda,un reportage judiciaire,2021-04-16,https://www.ledevoir.com/societe/598959/accusations-d-agression-sexuelle-andre-boisclair-subira-son-enquete-preliminaire-cet-automne,Agression sexuelle: André Boisclair subira son enquête préliminaire cet automne
Améli Pineda,un reportage judiciaire,2021-12-16,https://www.ledevoir.com/societe/654897/temoignages-des-victimes-presumees-aux-sentiments-partages-apres-l-entrevue-de-julien-lacroix,Des victimes présumées aux sentiments partagés après l’entrevue de Julien Lacroix
Améli Pineda,un reportage judiciaire,2021-04-15,https://www.ledevoir.com/societe/598853/agression-sexuelle-patricia-tulasne-poursuit-gilbert-rozon-pour-1-6-million-de-dollars,Agression sexuelle: la comédienne Patricia Tulasne poursuit Gilbert Rozon au civil
Améli Pineda,un reportage judiciaire,2020-09-17,https://www.ledevoir.com/societe/586102/upac-l-affaire-guy-ouellette-a-provoque-son-depart-soutient-l-ex-numero-deux-de-l-upac,L’ex-numéro deux de l’UPAC soutient que l’affaire Guy Ouellette a provoqué son départ
Améli Pineda,un reportage judiciaire,2021-04-01,https://www.ledevoir.com/societe/598035/attaque-de-l-agent-vig-ali-ngarukiye-espere-etre-relache-en-attendant-son-proces,Agression du policier Vig: Ali Ngarukiye espère être relâché en attendant son procès
Améli Pineda,un reportage judiciaire,2021-07-15,https://www.ledevoir.com/societe/617958/erreur-sur-la-personne-mamadi-iii-fara-camara-intente-une-poursuite-civile-de-1-2-million-contre-le-spvm-et-le-dpcp,"Mamadi Camara et ses proches poursuivent le SPVM et le DPCP pour 1,2 million de dollars"
